Device ID,Manufacture Date,Installation Date,Fault Date,Fault Age,Next Fault Date,Predicted Fault Interval Days
87,2016-03-03,2016-07-14,2023-06-28,2540,2024-01-26 05:00:28.564416000,212.20866
88,2018-08-19,2018-09-17,2023-08-08,1786,2024-04-11 04:34:05.214864000,247.19034
89,2015-05-10,2015-09-19,2023-06-19,2830,2023-12-27 17:37:37.910179200,191.73447
90,2014-05-05,2014-09-20,2023-08-17,3253,2024-01-26 14:29:44.619100800,162.60399
91,2020-10-18,2021-03-12,2023-05-15,794,2024-02-28 00:20:18.164054400,289.0141
92,2019-06-22,2019-09-04,2023-08-01,1427,2024-04-20 17:39:47.109369600,263.73596
93,2018-06-01,2018-06-18,2023-05-11,1788,2024-01-13 02:19:59.267568000,247.09721
94,2012-10-18,2013-01-10,2023-12-27,4003,2024-05-22 18:59:01.113244800,147.79099
95,2019-06-24,2019-09-01,2023-04-07,1314,2024-01-03 05:31:39.316396800,271.23032
96,2017-02-26,2017-04-01,2023-08-19,2331,2024-03-28 08:24:45.351532800,222.35052
97,2013-02-03,2013-02-09,2023-11-07,3923,2024-04-03 00:15:20.214864000,148.01065
98,2020-07-10,2020-09-01,2023-05-13,984,2024-02-22 22:39:42.714864000,285.94424
99,2020-08-29,2021-01-02,2023-10-17,1018,2024-07-28 02:29:22.207027200,285.10373
100,2014-02-09,2014-03-24,2023-10-03,3480,2024-03-03 15:27:49.042972799,152.64432
101,2011-12-04,2012-03-28,2023-10-02,4205,2024-02-26 12:47:39.521443200,147.5331
102,2016-09-15,2017-01-04,2023-10-25,2485,2024-05-26 21:43:54.082070400,214.90549
103,2017-08-09,2018-01-07,2023-12-16,2169,2024-08-02 00:12:30.146486400,230.00868
104,2014-04-29,2014-07-18,2023-10-04,3365,2024-03-08 05:23:24.931622400,156.2246
105,2010-06-11,2010-09-14,2022-10-30,4429,2023-03-26 10:42:51.240268800,147.44643
106,2010-07-21,2010-11-16,2023-03-26,4513,2023-08-20 10:25:00.732432000,147.43404
107,2015-06-05,2015-10-27,2023-07-10,2813,2024-01-19 06:34:48.281260800,193.27417
108,2012-09-22,2012-09-30,2023-12-16,4094,2024-05-11 15:14:22.207027200,147.63498
109,2016-05-06,2016-09-15,2023-10-30,2601,2024-05-26 01:22:27.802704000,209.05727
110,2020-10-09,2021-01-21,2023-09-19,971,2024-07-01 05:45:19.335945600,286.2398
111,2012-03-26,2012-08-05,2023-09-05,4048,2024-01-30 16:51:14.853513600,147.70226
112,2019-02-25,2019-03-22,2023-08-03,1595,2024-04-14 16:08:25.371081600,255.67252
113,2011-04-01,2011-07-06,2023-11-09,4509,2024-04-04 10:27:08.613244800,147.43552
114,2019-09-04,2020-02-06,2023-06-29,1239,2024-03-31 11:35:18.164054400,276.48285
115,2020-05-26,2020-08-27,2023-07-14,1051,2024-04-23 04:39:55.898467200,284.1944
116,2013-06-29,2013-12-06,2023-09-29,3584,2024-02-26 22:11:53.671891200,150.92493
117,2012-10-13,2013-04-09,2023-07-31,3765,2023-12-26 21:51:50.009731200,148.911
118,2020-05-01,2020-07-01,2023-06-23,1087,2024-04-01 01:43:37.382793600,283.07196
119,2016-06-01,2016-10-01,2023-07-20,2483,2024-02-20 00:10:51.269548800,215.00754
120,2020-05-24,2020-07-14,2023-11-26,1230,2024-08-29 00:39:54.140630400,277.0277
121,2017-07-30,2017-12-24,2023-11-29,2166,2024-07-16 03:25:26.660179200,230.14267
122,2020-06-17,2020-07-08,2023-04-06,1002,2024-01-16 12:13:37.382793600,285.50946
123,2010-12-04,2010-12-09,2023-04-23,4518,2023-09-17 10:25:00.732432000,147.43404
124,2012-05-28,2012-08-28,2023-11-18,4099,2024-04-13 15:02:36.884774400,147.62682
125,2012-12-12,2013-05-31,2023-08-16,3729,2024-01-12 05:17:40.839820800,149.22061
126,2012-03-02,2012-05-02,2023-11-27,4226,2024-04-22 12:19:30.703152000,147.51355
127,2020-12-07,2020-12-29,2023-03-13,804,2023-12-26 21:48:33.574233600,288.90872
128,2016-03-14,2016-08-10,2023-05-02,2456,2023-12-04 07:20:23.876937600,216.30583
129,2012-02-03,2012-04-13,2023-11-29,4247,2024-04-24 12:01:33.603513600,147.50108
130,2016-02-14,2016-02-15,2023-09-04,2758,2024-03-20 06:52:50.654323200,198.2867
131,2011-01-15,2011-05-28,2023-10-01,4509,2024-02-25 10:27:08.613244800,147.43552
132,2011-05-08,2011-05-20,2023-11-22,4569,2024-04-17 10:12:52.998019200,147.42561
133,2018-07-10,2018-10-08,2023-05-08,1673,2024-01-15 06:09:22.939459200,252.25652
134,2013-03-26,2013-05-11,2023-12-06,3861,2024-05-02 06:42:15.205046400,148.27934
135,2015-08-25,2015-09-28,2023-12-14,2999,2024-06-09 11:28:32.109369600,178.47815
136,2020-08-20,2021-02-13,2023-10-03,962,2024-07-15 10:27:40.253875200,286.43588
137,2010-03-06,2010-05-23,2022-06-29,4420,2022-11-23 10:43:58.476576000,147.4472
138,2020-10-03,2020-11-17,2023-05-25,919,2024-03-07 06:27:01.582070400,287.26877
139,2020-09-15,2021-02-17,2023-03-03,744,2023-12-17 11:55:28.417929600,289.49686
140,2017-01-12,2017-03-26,2023-10-29,2408,2024-06-03 15:25:29.296848000,218.6427
141,2013-09-29,2013-10-25,2023-08-04,3570,2024-01-02 02:55:11.279280000,151.12166
142,2013-02-26,2013-04-14,2023-10-04,3825,2024-02-29 11:41:20.712883200,148.48705
143,2015-07-21,2015-11-19,2023-05-29,2748,2023-12-14 03:34:44.326214400,199.14912
144,2017-05-19,2017-07-14,2023-09-02,2241,2024-04-15 15:10:01.171891200,226.63196
145,2014-02-04,2014-05-09,2023-12-06,3498,2024-05-06 07:03:22.148467199,152.294
146,2018-08-01,2018-11-16,2023-12-29,1869,2024-08-28 09:27:12.128918400,243.39389
147,2013-03-08,2013-05-10,2023-07-28,3731,2023-12-24 04:48:05.009731200,149.20006
148,2014-03-03,2014-04-20,2023-12-28,3539,2024-05-27 14:16:08.554684800,151.59454
149,2017-03-25,2017-05-25,2023-06-22,2219,2024-02-04 15:59:49.892611199,227.66655
150,2011-01-27,2011-04-18,2023-07-16,4472,2023-12-10 10:32:51.386755200,147.43948
151,2014-08-26,2014-09-21,2023-09-28,3294,2024-03-06 01:47:33.369100800,160.07469
152,2011-02-23,2011-03-31,2023-08-01,4506,2023-12-26 10:28:17.167929600,147.43631
153,2016-05-25,2016-05-26,2023-12-03,2747,2024-06-19 05:30:29.443334400,199.2295
154,2011-01-14,2011-01-22,2023-08-27,4600,2024-01-21 10:10:14.794953600,147.42378
155,2014-12-02,2015-03-25,2023-08-04,3054,2024-01-25 14:26:30.820272000,174.60175
156,2019-10-02,2020-01-09,2023-12-09,1430,2024-08-28 13:29:23.085945600,263.56207
157,2016-03-28,2016-09-24,2023-06-17,2457,2024-01-19 06:16:05.039097600,216.26117
158,2018-05-24,2018-07-10,2023-09-14,1892,2024-05-13 08:38:09.550809600,242.35983
159,2015-09-20,2016-01-25,2023-06-02,2685,2023-12-22 23:29:02.431622400,203.9785
160,2018-06-27,2018-08-22,2023-12-05,1931,2024-08-01 14:57:25.751980800,240.62321
161,2015-12-23,2016-01-06,2023-07-04,2736,2024-01-20 03:40:33.691440000,200.15317
162,2010-07-20,2010-08-17,2022-10-10,4437,2023-03-06 10:41:25.546848000,147.44543
163,2015-02-07,2015-04-26,2023-08-27,3045,2024-02-18 04:46:28.769548800,175.19894
164,2012-02-19,2012-06-28,2023-10-26,4137,2024-03-21 13:58:08.818377600,147.58205
165,2018-02-25,2018-06-14,2023-07-04,1846,2024-03-04 10:43:16.289097600,244.44672
166,2018-07-02,2018-12-03,2023-04-16,1595,2023-12-27 16:08:25.371081600,255.67252
167,2018-07-17,2018-07-31,2023-09-09,1866,2024-05-09 12:44:56.044953600,243.5312
168,2011-05-18,2011-07-13,2023-11-02,4495,2024-03-28 10:29:41.542972800,147.43729
169,2016-09-20,2017-01-13,2023-08-14,2404,2024-03-19 19:46:02.402342400,218.82364
170,2019-12-25,2020-01-01,2023-07-29,1305,2024-04-25 22:18:37.089820800,271.9296
171,2014-10-18,2014-10-21,2023-11-04,3301,2024-04-11 15:46:59.970720000,159.65764
172,2012-03-15,2012-07-04,2023-10-03,4108,2024-02-27 14:42:49.042972799,147.61307
173,2015-11-17,2016-04-16,2023-07-06,2637,2024-01-29 00:35:54.199190400,207.02493
174,2017-06-24,2017-10-09,2023-07-21,2111,2024-03-09 16:13:57.597657599,232.67636
175,2015-03-11,2015-03-29,2023-06-24,3009,2023-12-18 17:18:42.802704000,177.72133
176,2017-08-05,2017-09-12,2023-10-28,2237,2024-06-10 19:45:50.537116800,226.8235
177,2014-04-20,2014-08-13,2023-10-25,3360,2024-03-29 11:00:56.250000000,156.45898
178,2012-08-18,2012-09-02,2023-12-28,4134,2024-05-23 14:03:01.494144000,147.58543
179,2020-06-07,2020-10-04,2023-07-15,1014,2024-04-25 04:52:48.457027200,285.20334
180,2017-04-14,2017-05-12,2023-05-09,2188,2023-12-24 02:46:59.531260800,229.11597
181,2020-12-28,2021-02-05,2023-09-30,967,2024-07-12 07:54:44.472614400,286.32968
182,2014-01-25,2014-02-11,2023-12-07,3586,2024-05-05 21:32:33.808560000,150.89761
183,2017-05-14,2017-08-08,2023-12-18,2323,2024-07-27 17:43:02.226576000,222.73822
184,2020-07-07,2020-11-10,2023-10-27,1081,2024-08-05 06:28:31.230451200,283.2698
185,2012-10-25,2012-12-08,2023-10-03,3951,2024-02-27 22:10:39.843782400,147.92407
186,2019-01-03,2019-01-28,2023-05-23,1576,2024-02-03 12:09:53.261712000,256.50687
187,2011-05-18,2011-10-10,2023-12-03,4437,2024-04-28 10:41:25.546848000,147.44543
188,2017-09-15,2017-09-28,2023-11-03,2227,2024-06-17 07:01:14.267568000,227.29253
189,2011-02-02,2011-02-27,2023-07-29,4535,2023-12-23 10:18:17.314416000,147.42937
190,2012-05-20,2012-07-27,2023-12-05,4148,2024-04-30 13:45:59.765587200,147.57361
191,2017-10-13,2018-02-28,2023-04-03,1860,2023-12-02 19:24:26.455046400,243.80864
192,2011-01-28,2011-04-05,2023-06-19,4458,2023-11-13 10:36:19.687478400,147.4419
193,2010-07-26,2010-11-12,2022-12-26,4427,2023-05-22 10:42:51.240268800,147.44643
194,2012-11-04,2013-03-30,2023-08-29,3804,2024-01-24 14:50:37.060540800,148.61848
195,2015-02-25,2015-06-16,2023-11-01,3060,2024-04-23 05:07:46.259731200,174.21373
196,2019-12-05,2020-03-25,2023-10-20,1304,2024-07-17 23:51:12.656217600,271.9939
197,2018-01-18,2018-02-21,2023-07-30,1985,2024-03-24 06:45:10.546847999,238.28137
198,2014-01-24,2014-05-15,2023-08-11,3375,2024-01-13 18:49:05.214864000,155.78409
199,2020-04-20,2020-04-28,2023-12-21,1332,2024-09-15 21:14:40.664054400,269.8852
200,2019-12-26,2020-06-11,2023-12-11,1278,2024-09-09 22:17:10.078108800,273.9286
201,2012-05-13,2012-09-03,2023-11-21,4096,2024-04-16 15:08:26.250000000,147.63086
202,2017-08-22,2017-11-13,2023-11-07,2185,2024-06-23 06:14:40.664054400,229.2602
203,2019-01-26,2019-03-09,2023-11-13,1710,2024-07-20 15:06:22.324233600,250.62943
204,2011-07-18,2012-01-03,2023-08-02,4229,2023-12-27 12:17:03.046848000,147.51184
205,2012-10-17,2013-01-26,2023-09-15,3884,2024-02-10 04:09:35.244144000,148.17332
206,2010-04-06,2010-04-12,2022-11-14,4599,2023-04-10 10:11:03.574233600,147.42435
207,2015-04-08,2015-10-05,2023-10-05,2922,2024-04-06 08:57:02.021443200,184.37294
208,2014-10-24,2014-11-19,2023-06-12,3127,2023-11-29 03:23:12.187478400,170.14111
209,2016-12-07,2017-02-09,2023-11-12,2467,2024-06-14 18:24:24.697295999,215.76695
210,2019-07-11,2019-09-08,2023-03-10,1279,2023-12-08 20:31:15.585945600,273.85504
211,2016-03-28,2016-07-15,2023-05-24,2504,2023-12-23 23:51:32.431622400,213.99413
212,2017-08-28,2017-12-27,2023-05-24,1974,2024-01-17 18:08:42.070272000,238.75604
213,2014-08-06,2014-09-08,2023-12-28,3398,2024-05-30 20:38:06.914054400,154.8598
214,2018-11-17,2019-04-16,2023-11-28,1687,2024-08-05 15:18:22.148467200,251.63776
215,2011-06-25,2011-07-16,2023-12-01,4521,2024-04-26 10:25:00.732432000,147.43404
216,2012-11-25,2013-02-03,2023-12-27,3979,2024-05-22 20:11:46.201171200,147.8415
217,2017-01-16,2017-05-08,2023-08-18,2293,2024-03-29 04:01:07.675766400,224.16745
218,2013-03-29,2013-04-02,2023-09-28,3831,2024-02-23 10:38:26.250000000,148.44336
219,2020-09-15,2020-12-18,2023-08-28,983,2024-06-08 23:15:34.277385600,285.96915
220,2014-09-19,2014-12-03,2023-08-07,3169,2024-01-21 16:41:15.000000000,167.69531
221,2019-01-28,2019-03-31,2023-12-19,1724,2024-08-24 23:56:56.748019200,249.99788
222,2018-08-24,2018-11-26,2023-04-25,1611,2024-01-04 23:05:41.015587200,254.96228
223,2014-12-25,2015-03-30,2023-06-20,3004,2023-12-15 02:22:25.605494400,178.0989
224,2017-03-10,2017-08-09,2023-07-24,2175,2024-03-09 17:24:28.212883200,229.72533
225,2017-06-22,2017-08-16,2023-06-26,2140,2024-02-12 08:16:24.374956800,231.34473
226,2017-02-17,2017-07-04,2023-12-05,2345,2024-07-13 16:19:33.779280000,221.68025
227,2014-05-17,2014-09-25,2023-11-13,3336,2024-04-18 16:01:35.361350400,157.66777
228,2018-05-19,2018-06-19,2023-10-01,1930,2024-05-28 16:03:07.646486400,240.66884
229,2017-05-17,2017-06-26,2023-11-17,2335,2024-06-26 03:49:35.537116800,222.15944
230,2012-03-06,2012-04-11,2023-10-19,4208,2024-03-14 12:44:34.951171200,147.53096
231,2012-11-17,2013-04-18,2023-08-29,3785,2024-01-24 18:02:42.158198400,148.75188
232,2014-07-02,2014-07-08,2023-07-28,3307,2024-01-03 07:15:35.156217600,159.30249
233,2019-12-07,2020-02-11,2023-10-22,1349,2024-07-16 15:54:47.988287999,268.66306
234,2013-09-25,2013-12-09,2023-11-19,3632,2024-04-17 06:58:49.248019200,150.29085
235,2020-08-05,2020-08-09,2023-07-24,1079,2024-05-02 08:07:05.390630400,283.33826
236,2015-06-05,2015-08-23,2023-12-03,3024,2024-05-27 15:30:44.384774400,176.64635
237,2013-09-16,2014-01-28,2023-10-29,3561,2024-03-28 06:12:55.195315200,151.25897
238,2014-07-22,2014-11-17,2023-12-09,3309,2024-05-16 04:28:47.490268800,159.18666
239,2014-03-10,2014-07-01,2023-09-08,3356,2024-02-11 15:39:05.361350400,156.65215
240,2015-08-01,2015-11-03,2023-11-12,2931,2024-05-13 16:51:31.992163200,183.70245
241,2019-05-13,2019-11-08,2023-07-29,1359,2024-04-21 23:05:06.738288000,267.96188
242,2014-02-05,2014-04-08,2023-09-07,3439,2024-02-07 14:02:27.216758400,153.58504
243,2019-01-16,2019-04-05,2023-08-12,1590,2024-04-23 21:28:15.410179200,255.89462
244,2016-02-16,2016-07-01,2023-07-06,2561,2024-02-02 03:32:39.082070400,211.14767
245,2019-01-10,2019-02-05,2023-07-29,1635,2024-04-07 21:55:32.812521600,253.91357
246,2013-11-09,2014-05-07,2023-09-17,3420,2024-02-18 02:58:39.580089600,154.12407
247,2013-11-01,2014-04-23,2023-08-29,3415,2024-01-30 06:42:58.710902400,154.27985
248,2013-07-30,2013-09-12,2023-08-30,3639,2024-01-27 04:51:35.947296000,150.2025
249,2017-05-04,2017-09-14,2023-05-04,2058,2023-12-25 01:51:02.988288000,235.07712
250,2017-04-29,2017-07-08,2023-11-23,2329,2024-07-02 10:43:16.289097600,222.44672
251,2012-08-30,2013-01-31,2023-10-02,3896,2024-02-27 02:58:36.943334400,148.12404
252,2014-11-04,2015-03-02,2023-06-30,3042,2023-12-22 09:36:31.113244800,175.40036
253,2013-07-06,2013-09-12,2023-08-11,3620,2024-01-08 10:34:17.080089600,150.44048
254,2019-05-24,2019-06-12,2023-09-17,1558,2024-05-31 07:17:15.351532800,257.30365
255,2011-12-11,2011-12-31,2023-09-16,4277,2024-02-10 11:45:39.111350400,147.49004
256,2014-01-19,2014-05-12,2023-08-31,3398,2024-02-01 20:38:06.914054400,154.8598
257,2013-12-05,2014-04-24,2023-07-14,3368,2023-12-17 02:08:38.994144000,156.08934
258,2011-10-11,2011-11-27,2023-11-23,4379,2024-04-18 10:57:01.582070400,147.45627
259,2010-11-14,2010-11-15,2023-05-16,4565,2023-10-10 10:13:23.320272000,147.42596
260,2020-04-06,2020-07-05,2023-12-24,1267,2024-09-23 16:31:19.101532800,274.68842
261,2019-01-10,2019-06-01,2023-10-29,1611,2024-07-09 23:05:41.015587200,254.96228
262,2020-08-26,2020-10-29,2023-09-30,1066,2024-07-09 17:46:12.070272000,283.74042
263,2013-06-11,2013-07-19,2023-12-30,3816,2024-05-26 12:52:42.744144000,148.5366
264,2011-11-15,2011-12-22,2023-11-28,4359,2024-04-23 11:06:06.064416000,147.46257
265,2011-10-26,2012-02-29,2023-10-25,4256,2024-03-20 11:52:29.121081600,147.49478
266,2015-06-22,2015-11-08,2023-09-17,2870,2024-03-23 07:48:52.470720000,188.3256
267,2020-09-03,2020-12-12,2023-08-26,987,2024-06-06 20:56:52.792972800,285.87283
268,2019-06-08,2019-08-24,2023-04-09,1324,2024-01-04 11:19:39.492163200,270.472
269,2020-04-01,2020-04-04,2023-05-01,1122,2024-02-06 20:55:57.421891200,281.8722
270,2014-06-20,2014-11-28,2023-09-28,3226,2024-03-10 06:45:38.232432000,164.2817
271,2014-02-04,2014-06-18,2023-12-16,3468,2024-05-16 21:31:08.115225600,152.89662
272,2019-01-18,2019-07-15,2023-06-09,1425,2024-02-27 20:17:14.472614400,263.8453
273,2020-04-21,2020-05-01,2023-04-28,1092,2024-02-04 21:55:40.722614400,282.91367
274,2013-02-10,2013-02-15,2023-11-26,3936,2024-04-21 23:18:40.166035200,147.9713
275,2015-01-28,2015-06-28,2023-05-25,2888,2023-11-27 22:02:50.507836800,186.91864
276,2014-03-01,2014-07-17,2023-11-20,3413,2024-04-22 08:05:50.244143999,154.33739
277,2016-10-25,2017-04-15,2023-11-21,2411,2024-06-26 11:50:19.921891200,218.49329
278,2011-07-18,2011-11-25,2023-11-02,4360,2024-03-28 11:06:06.064416000,147.46257
279,2013-07-15,2013-07-28,2023-12-17,3794,2024-05-13 16:30:35.595676800,148.68791
280,2019-10-22,2020-04-07,2023-08-27,1237,2024-05-29 14:21:51.328108800,276.5985
281,2020-08-14,2020-12-22,2023-10-29,1041,2024-08-08 11:29:01.113244800,284.4785
282,2019-06-20,2019-09-12,2023-07-31,1418,2024-04-20 05:52:31.757836800,264.2448
283,2019-06-21,2019-08-25,2023-12-01,1559,2024-08-14 06:13:03.105494400,257.25906
284,2018-09-20,2018-11-22,2023-08-05,1717,2024-04-11 07:31:42.832070400,250.31369
285,2014-06-25,2014-10-04,2023-09-03,3256,2024-02-12 09:55:20.947296000,162.41344
286,2020-02-14,2020-04-27,2023-12-15,1327,2024-09-10 05:56:55.429728000,270.24786
287,2018-03-19,2018-04-05,2023-07-03,1915,2024-02-29 07:50:57.714864000,241.32706
288,2018-08-19,2018-08-28,2023-03-26,1671,2023-12-03 08:17:23.701171200,252.34541
289,2011-11-30,2012-04-21,2023-12-17,4257,2024-05-12 11:50:08.056665600,147.49315
