Device ID,Manufacture Date,Installation Date,Fault Date
5,2013-02-04,2013-02-09,2018-07-17
5,2013-02-04,2013-02-09,2019-03-29
5,2013-02-04,2013-02-09,2019-11-12
5,2013-02-04,2013-02-09,2020-06-22
5,2013-02-04,2013-02-09,2021-01-16
5,2013-02-04,2013-02-09,2021-09-28
5,2013-02-04,2013-02-09,2022-04-07
5,2013-02-04,2013-02-09,2022-10-15
5,2013-02-04,2013-02-09,2023-05-04
5,2013-02-04,2013-02-09,2023-09-27
6,2012-12-31,2013-04-29,2014-04-19
6,2012-12-31,2013-04-29,2015-03-27
6,2012-12-31,2013-04-29,2016-02-10
6,2012-12-31,2013-04-29,2016-11-22
6,2012-12-31,2013-04-29,2017-09-17
6,2012-12-31,2013-04-29,2018-05-22
6,2012-12-31,2013-04-29,2019-03-07
6,2012-12-31,2013-04-29,2019-11-25
6,2012-12-31,2013-04-29,2020-07-04
6,2012-12-31,2013-04-29,2021-01-31
6,2012-12-31,2013-04-29,2021-09-03
6,2012-12-31,2013-04-29,2022-03-04
6,2012-12-31,2013-04-29,2022-10-12
6,2012-12-31,2013-04-29,2023-04-12
6,2012-12-31,2013-04-29,2023-10-01
7,2020-04-30,2020-06-02,2021-05-11
7,2020-04-30,2020-06-02,2022-05-29
7,2020-04-30,2020-06-02,2023-04-22
8,2018-06-20,2018-10-16,2019-10-08
8,2018-06-20,2018-10-16,2020-11-01
8,2018-06-20,2018-10-16,2021-10-04
8,2018-06-20,2018-10-16,2022-10-11
8,2018-06-20,2018-10-16,2023-07-12
9,2014-06-27,2014-08-31,2015-07-24
9,2014-06-27,2014-08-31,2016-06-16
9,2014-06-27,2014-08-31,2017-05-31
9,2014-06-27,2014-08-31,2018-05-11
9,2014-06-27,2014-08-31,2019-05-23
9,2014-06-27,2014-08-31,2020-02-14
9,2014-06-27,2014-08-31,2020-10-02
9,2014-06-27,2014-08-31,2021-06-20
9,2014-06-27,2014-08-31,2022-01-09
9,2014-06-27,2014-08-31,2022-08-27
9,2014-06-27,2014-08-31,2023-03-09
9,2014-06-27,2014-08-31,2023-09-23
10,2015-12-10,2016-05-04,2017-04-29
10,2015-12-10,2016-05-04,2018-05-11
10,2015-12-10,2016-05-04,2019-04-28
10,2015-12-10,2016-05-04,2020-01-01
10,2015-12-10,2016-05-04,2020-09-22
10,2015-12-10,2016-05-04,2021-05-13
10,2015-12-10,2016-05-04,2022-03-26
10,2015-12-10,2016-05-04,2022-11-25
10,2015-12-10,2016-05-04,2023-08-27
11,2011-04-12,2011-10-06,2012-09-14
11,2011-04-12,2011-10-06,2013-09-22
11,2011-04-12,2011-10-06,2014-08-19
11,2011-04-12,2011-10-06,2015-07-09
11,2011-04-12,2011-10-06,2016-03-18
11,2011-04-12,2011-10-06,2017-01-26
11,2011-04-12,2011-10-06,2017-10-31
11,2011-04-12,2011-10-06,2018-07-11
11,2011-04-12,2011-10-06,2019-02-09
11,2011-04-12,2011-10-06,2019-09-22
11,2011-04-12,2011-10-06,2020-04-08
11,2011-04-12,2011-10-06,2020-09-17
11,2011-04-12,2011-10-06,2021-03-21
11,2011-04-12,2011-10-06,2021-09-10
11,2011-04-12,2011-10-06,2022-03-13
11,2011-04-12,2011-10-06,2022-07-12
11,2011-04-12,2011-10-06,2022-12-12
11,2011-04-12,2011-10-06,2023-04-15
11,2011-04-12,2011-10-06,2023-08-31
12,2013-05-23,2013-06-03,2014-05-30
12,2013-05-23,2013-06-03,2015-06-07
12,2013-05-23,2013-06-03,2016-03-17
12,2013-05-23,2013-06-03,2017-02-23
12,2013-05-23,2013-06-03,2017-11-19
12,2013-05-23,2013-06-03,2018-07-09
12,2013-05-23,2013-06-03,2019-03-21
12,2013-05-23,2013-06-03,2019-10-03
12,2013-05-23,2013-06-03,2020-06-03
12,2013-05-23,2013-06-03,2021-01-08
12,2013-05-23,2013-06-03,2021-09-04
12,2013-05-23,2013-06-03,2022-04-04
12,2013-05-23,2013-06-03,2022-09-13
12,2013-05-23,2013-06-03,2023-02-24
12,2013-05-23,2013-06-03,2023-08-22
13,2010-11-27,2011-02-20,2012-04-04
13,2010-11-27,2011-02-20,2013-04-23
13,2010-11-27,2011-02-20,2014-03-07
13,2010-11-27,2011-02-20,2015-01-16
13,2010-11-27,2011-02-20,2015-12-06
13,2010-11-27,2011-02-20,2016-08-23
13,2010-11-27,2011-02-20,2017-05-14
13,2010-11-27,2011-02-20,2018-01-01
13,2010-11-27,2011-02-20,2018-08-04
13,2010-11-27,2011-02-20,2019-03-08
13,2010-11-27,2011-02-20,2019-09-14
13,2010-11-27,2011-02-20,2020-03-23
13,2010-11-27,2011-02-20,2020-09-03
13,2010-11-27,2011-02-20,2021-02-20
13,2010-11-27,2011-02-20,2021-08-11
13,2010-11-27,2011-02-20,2022-01-04
13,2010-11-27,2011-02-20,2022-05-31
13,2010-11-27,2011-02-20,2022-10-19
13,2010-11-27,2011-02-20,2023-03-05
13,2010-11-27,2011-02-20,2023-07-05
14,2014-01-22,2014-02-17,2015-03-28
14,2014-01-22,2014-02-17,2015-12-23
14,2014-01-22,2014-02-17,2017-02-19
14,2014-01-22,2014-02-17,2017-11-24
14,2014-01-22,2014-02-17,2018-09-21
14,2014-01-22,2014-02-17,2019-05-26
14,2014-01-22,2014-02-17,2020-02-26
14,2014-01-22,2014-02-17,2020-11-03
14,2014-01-22,2014-02-17,2021-06-06
14,2014-01-22,2014-02-17,2022-02-03
14,2014-01-22,2014-02-17,2022-08-24
14,2014-01-22,2014-02-17,2023-03-17
14,2014-01-22,2014-02-17,2023-08-30
15,2015-11-06,2016-01-08,2017-03-21
15,2015-11-06,2016-01-08,2018-03-29
15,2015-11-06,2016-01-08,2019-02-22
15,2015-11-06,2016-01-08,2019-12-07
15,2015-11-06,2016-01-08,2020-09-20
15,2015-11-06,2016-01-08,2021-06-23
15,2015-11-06,2016-01-08,2022-03-17
15,2015-11-06,2016-01-08,2022-10-18
15,2015-11-06,2016-01-08,2023-06-19
15,2015-11-06,2016-01-08,2023-12-28
16,2019-06-07,2019-09-01,2020-08-02
16,2019-06-07,2019-09-01,2021-07-24
16,2019-06-07,2019-09-01,2022-07-18
16,2019-06-07,2019-09-01,2023-05-13
17,2018-09-07,2018-11-05,2019-12-27
17,2018-09-07,2018-11-05,2020-12-22
17,2018-09-07,2018-11-05,2021-11-20
17,2018-09-07,2018-11-05,2022-07-30
17,2018-09-07,2018-11-05,2023-04-19
18,2017-12-29,2018-01-25,2019-02-14
18,2017-12-29,2018-01-25,2020-02-17
18,2017-12-29,2018-01-25,2021-01-26
18,2017-12-29,2018-01-25,2022-01-05
18,2017-12-29,2018-01-25,2022-10-10
18,2017-12-29,2018-01-25,2023-07-11
19,2020-03-24,2020-09-17,2021-08-01
19,2020-03-24,2020-09-17,2022-05-18
19,2020-03-24,2020-09-17,2023-03-16
20,2010-05-11,2010-10-19,2011-08-23
20,2010-05-11,2010-10-19,2012-07-25
20,2010-05-11,2010-10-19,2013-05-08
20,2010-05-11,2010-10-19,2014-02-27
20,2010-05-11,2010-10-19,2014-12-26
20,2010-05-11,2010-10-19,2015-09-13
20,2010-05-11,2010-10-19,2016-07-05
20,2010-05-11,2010-10-19,2017-04-20
20,2010-05-11,2010-10-19,2017-10-19
20,2010-05-11,2010-10-19,2018-05-16
20,2010-05-11,2010-10-19,2018-12-16
20,2010-05-11,2010-10-19,2019-07-28
20,2010-05-11,2010-10-19,2020-01-24
20,2010-05-11,2010-10-19,2020-07-21
20,2010-05-11,2010-10-19,2020-12-18
20,2010-05-11,2010-10-19,2021-05-03
20,2010-05-11,2010-10-19,2021-10-26
20,2010-05-11,2010-10-19,2022-02-21
20,2010-05-11,2010-10-19,2022-08-10
20,2010-05-11,2010-10-19,2022-12-26
21,2014-08-13,2014-11-19,2015-12-13
21,2014-08-13,2014-11-19,2016-12-10
21,2014-08-13,2014-11-19,2017-10-21
21,2014-08-13,2014-11-19,2018-09-04
21,2014-08-13,2014-11-19,2019-06-14
21,2014-08-13,2014-11-19,2020-03-28
21,2014-08-13,2014-11-19,2020-12-10
21,2014-08-13,2014-11-19,2021-07-18
21,2014-08-13,2014-11-19,2022-02-14
21,2014-08-13,2014-11-19,2022-08-31
21,2014-08-13,2014-11-19,2023-04-17
21,2014-08-13,2014-11-19,2023-10-18
22,2019-04-04,2019-07-18,2020-07-31
22,2019-04-04,2019-07-18,2021-08-31
22,2019-04-04,2019-07-18,2022-08-13
22,2019-04-04,2019-07-18,2023-05-25
23,2012-02-09,2012-05-18,2013-05-13
23,2012-02-09,2012-05-18,2014-04-17
23,2012-02-09,2012-05-18,2015-02-06
23,2012-02-09,2012-05-18,2015-12-30
23,2012-02-09,2012-05-18,2016-12-10
23,2012-02-09,2012-05-18,2017-09-15
23,2012-02-09,2012-05-18,2018-06-04
23,2012-02-09,2012-05-18,2019-01-11
23,2012-02-09,2012-05-18,2019-10-02
23,2012-02-09,2012-05-18,2020-05-04
23,2012-02-09,2012-05-18,2020-11-13
23,2012-02-09,2012-05-18,2021-05-28
23,2012-02-09,2012-05-18,2021-12-07
23,2012-02-09,2012-05-18,2022-06-01
23,2012-02-09,2012-05-18,2022-12-02
23,2012-02-09,2012-05-18,2023-05-11
23,2012-02-09,2012-05-18,2023-09-29
24,2016-07-19,2016-11-25,2017-12-13
24,2016-07-19,2016-11-25,2018-10-08
24,2016-07-19,2016-11-25,2019-10-08
24,2016-07-19,2016-11-25,2020-08-01
24,2016-07-19,2016-11-25,2021-05-11
24,2016-07-19,2016-11-25,2022-03-03
24,2016-07-19,2016-11-25,2022-12-07
24,2016-07-19,2016-11-25,2023-07-22
25,2014-02-24,2014-07-23,2015-07-02
25,2014-02-24,2014-07-23,2016-08-14
25,2014-02-24,2014-07-23,2017-06-06
25,2014-02-24,2014-07-23,2018-04-16
25,2014-02-24,2014-07-23,2019-01-08
25,2014-02-24,2014-07-23,2019-12-11
25,2014-02-24,2014-07-23,2020-07-23
25,2014-02-24,2014-07-23,2021-04-06
25,2014-02-24,2014-07-23,2021-11-05
25,2014-02-24,2014-07-23,2022-06-04
25,2014-02-24,2014-07-23,2023-01-07
25,2014-02-24,2014-07-23,2023-08-14
26,2019-07-18,2019-09-11,2020-07-15
26,2019-07-18,2019-09-11,2021-07-07
26,2019-07-18,2019-09-11,2022-07-18
26,2019-07-18,2019-09-11,2023-03-31
27,2017-10-24,2017-10-30,2018-10-29
27,2017-10-24,2017-10-30,2019-10-23
27,2017-10-24,2017-10-30,2020-08-18
27,2017-10-24,2017-10-30,2021-05-09
27,2017-10-24,2017-10-30,2022-01-02
27,2017-10-24,2017-10-30,2022-11-06
27,2017-10-24,2017-10-30,2023-08-26
28,2016-08-30,2016-12-03,2017-11-13
28,2016-08-30,2016-12-03,2018-08-29
28,2016-08-30,2016-12-03,2019-08-12
28,2016-08-30,2016-12-03,2020-05-14
28,2016-08-30,2016-12-03,2021-02-13
28,2016-08-30,2016-12-03,2021-11-04
28,2016-08-30,2016-12-03,2022-07-23
28,2016-08-30,2016-12-03,2023-03-13
28,2016-08-30,2016-12-03,2023-11-08
29,2013-04-30,2013-09-10,2014-10-05
29,2013-04-30,2013-09-10,2015-10-19
29,2013-04-30,2013-09-10,2016-09-09
29,2013-04-30,2013-09-10,2017-07-25
29,2013-04-30,2013-09-10,2018-07-08
29,2013-04-30,2013-09-10,2019-03-02
29,2013-04-30,2013-09-10,2019-10-12
29,2013-04-30,2013-09-10,2020-06-28
29,2013-04-30,2013-09-10,2021-03-28
29,2013-04-30,2013-09-10,2021-10-22
29,2013-04-30,2013-09-10,2022-06-16
29,2013-04-30,2013-09-10,2022-12-24
29,2013-04-30,2013-09-10,2023-06-09
29,2013-04-30,2013-09-10,2023-11-09
30,2012-08-13,2012-11-23,2013-10-20
30,2012-08-13,2012-11-23,2014-10-04
30,2012-08-13,2012-11-23,2015-10-18
30,2012-08-13,2012-11-23,2016-08-10
30,2012-08-13,2012-11-23,2017-07-04
30,2012-08-13,2012-11-23,2018-02-28
30,2012-08-13,2012-11-23,2018-10-31
30,2012-08-13,2012-11-23,2019-05-30
30,2012-08-13,2012-11-23,2020-01-21
30,2012-08-13,2012-11-23,2020-09-16
30,2012-08-13,2012-11-23,2021-04-14
30,2012-08-13,2012-11-23,2021-11-21
30,2012-08-13,2012-11-23,2022-05-11
30,2012-08-13,2012-11-23,2022-11-06
30,2012-08-13,2012-11-23,2023-04-12
30,2012-08-13,2012-11-23,2023-09-22
31,2016-05-13,2016-05-16,2017-06-06
31,2016-05-13,2016-05-16,2018-04-09
31,2016-05-13,2016-05-16,2019-01-31
31,2016-05-13,2016-05-16,2019-11-15
31,2016-05-13,2016-05-16,2020-08-28
31,2016-05-13,2016-05-16,2021-06-05
31,2016-05-13,2016-05-16,2022-03-14
31,2016-05-13,2016-05-16,2022-10-27
31,2016-05-13,2016-05-16,2023-05-13
32,2013-03-30,2013-04-22,2014-03-11
32,2013-03-30,2013-04-22,2015-03-22
32,2013-03-30,2013-04-22,2016-02-12
32,2013-03-30,2013-04-22,2016-12-24
32,2013-03-30,2013-04-22,2017-10-11
32,2013-03-30,2013-04-22,2018-07-02
32,2013-03-30,2013-04-22,2019-04-01
32,2013-03-30,2013-04-22,2019-11-22
32,2013-03-30,2013-04-22,2020-08-08
32,2013-03-30,2013-04-22,2021-03-27
32,2013-03-30,2013-04-22,2021-10-31
32,2013-03-30,2013-04-22,2022-05-03
32,2013-03-30,2013-04-22,2022-10-30
32,2013-03-30,2013-04-22,2023-04-01
32,2013-03-30,2013-04-22,2023-09-08
33,2011-04-05,2011-05-28,2012-07-13
33,2011-04-05,2011-05-28,2013-06-22
33,2011-04-05,2011-05-28,2014-05-17
33,2011-04-05,2011-05-28,2015-03-11
33,2011-04-05,2011-05-28,2015-12-30
33,2011-04-05,2011-05-28,2016-12-04
33,2011-04-05,2011-05-28,2017-08-07
33,2011-04-05,2011-05-28,2018-03-20
33,2011-04-05,2011-05-28,2018-11-15
33,2011-04-05,2011-05-28,2019-04-25
33,2011-04-05,2011-05-28,2019-11-19
33,2011-04-05,2011-05-28,2020-05-25
33,2011-04-05,2011-05-28,2020-11-07
33,2011-04-05,2011-05-28,2021-05-10
33,2011-04-05,2011-05-28,2021-10-23
33,2011-04-05,2011-05-28,2022-02-28
33,2011-04-05,2011-05-28,2022-07-18
33,2011-04-05,2011-05-28,2022-10-27
33,2011-04-05,2011-05-28,2023-03-16
33,2011-04-05,2011-05-28,2023-07-26
34,2019-04-09,2019-09-21,2020-08-22
34,2019-04-09,2019-09-21,2021-08-22
34,2019-04-09,2019-09-21,2022-06-02
34,2019-04-09,2019-09-21,2023-03-09
35,2010-01-22,2010-04-15,2011-03-20
35,2010-01-22,2010-04-15,2012-02-27
35,2010-01-22,2010-04-15,2013-01-01
35,2010-01-22,2010-04-15,2013-10-25
35,2010-01-22,2010-04-15,2014-08-04
35,2010-01-22,2010-04-15,2015-04-20
35,2010-01-22,2010-04-15,2016-01-17
35,2010-01-22,2010-04-15,2016-09-07
35,2010-01-22,2010-04-15,2017-05-02
35,2010-01-22,2010-04-15,2017-11-25
35,2010-01-22,2010-04-15,2018-05-24
35,2010-01-22,2010-04-15,2018-12-31
35,2010-01-22,2010-04-15,2019-07-19
35,2010-01-22,2010-04-15,2020-02-24
35,2010-01-22,2010-04-15,2020-07-23
35,2010-01-22,2010-04-15,2020-12-26
35,2010-01-22,2010-04-15,2021-05-24
35,2010-01-22,2010-04-15,2021-10-27
35,2010-01-22,2010-04-15,2022-03-03
35,2010-01-22,2010-04-15,2022-06-23
36,2016-04-19,2016-09-11,2017-10-25
36,2016-04-19,2016-09-11,2018-09-21
36,2016-04-19,2016-09-11,2019-09-08
36,2016-04-19,2016-09-11,2020-08-01
36,2016-04-19,2016-09-11,2021-05-14
36,2016-04-19,2016-09-11,2022-02-04
36,2016-04-19,2016-09-11,2022-10-08
36,2016-04-19,2016-09-11,2023-06-08
37,2012-01-18,2012-04-12,2013-03-13
37,2012-01-18,2012-04-12,2014-02-26
37,2012-01-18,2012-04-12,2014-12-13
37,2012-01-18,2012-04-12,2015-09-19
37,2012-01-18,2012-04-12,2016-07-10
37,2012-01-18,2012-04-12,2017-02-20
37,2012-01-18,2012-04-12,2018-01-08
37,2012-01-18,2012-04-12,2018-08-16
37,2012-01-18,2012-04-12,2019-04-10
37,2012-01-18,2012-04-12,2019-12-17
37,2012-01-18,2012-04-12,2020-06-27
37,2012-01-18,2012-04-12,2020-11-28
37,2012-01-18,2012-04-12,2021-05-30
37,2012-01-18,2012-04-12,2021-11-12
37,2012-01-18,2012-04-12,2022-03-25
37,2012-01-18,2012-04-12,2022-09-11
37,2012-01-18,2012-04-12,2023-02-17
37,2012-01-18,2012-04-12,2023-07-31
37,2012-01-18,2012-04-12,2023-12-01
38,2017-12-14,2018-03-02,2019-02-15
38,2017-12-14,2018-03-02,2020-01-23
38,2017-12-14,2018-03-02,2021-01-14
38,2017-12-14,2018-03-02,2021-12-30
38,2017-12-14,2018-03-02,2022-11-18
38,2017-12-14,2018-03-02,2023-08-23
39,2019-12-12,2020-03-31,2021-03-07
39,2019-12-12,2020-03-31,2022-02-22
39,2019-12-12,2020-03-31,2022-12-07
39,2019-12-12,2020-03-31,2023-10-16
40,2011-04-20,2011-04-21,2012-06-21
40,2011-04-20,2011-04-21,2013-05-20
40,2011-04-20,2011-04-21,2014-04-11
40,2011-04-20,2011-04-21,2015-02-17
40,2011-04-20,2011-04-21,2015-11-19
40,2011-04-20,2011-04-21,2016-07-27
40,2011-04-20,2011-04-21,2017-05-16
40,2011-04-20,2011-04-21,2017-12-21
40,2011-04-20,2011-04-21,2018-07-09
40,2011-04-20,2011-04-21,2019-03-01
40,2011-04-20,2011-04-21,2019-10-18
40,2011-04-20,2011-04-21,2020-04-21
40,2011-04-20,2011-04-21,2020-10-14
40,2011-04-20,2011-04-21,2021-04-12
40,2011-04-20,2011-04-21,2021-09-12
40,2011-04-20,2011-04-21,2022-02-03
40,2011-04-20,2011-04-21,2022-07-15
40,2011-04-20,2011-04-21,2022-12-10
40,2011-04-20,2011-04-21,2023-05-08
40,2011-04-20,2011-04-21,2023-08-24
41,2012-12-18,2013-02-07,2014-01-19
41,2012-12-18,2013-02-07,2015-01-09
41,2012-12-18,2013-02-07,2015-11-01
41,2012-12-18,2013-02-07,2016-09-26
41,2012-12-18,2013-02-07,2017-08-20
41,2012-12-18,2013-02-07,2018-05-05
41,2012-12-18,2013-02-07,2019-01-21
41,2012-12-18,2013-02-07,2019-10-29
41,2012-12-18,2013-02-07,2020-07-27
41,2012-12-18,2013-02-07,2021-03-15
41,2012-12-18,2013-02-07,2021-10-16
41,2012-12-18,2013-02-07,2022-04-08
41,2012-12-18,2013-02-07,2022-10-13
41,2012-12-18,2013-02-07,2023-04-11
41,2012-12-18,2013-02-07,2023-09-16
42,2017-01-02,2017-06-24,2018-05-08
42,2017-01-02,2017-06-24,2019-02-19
42,2017-01-02,2017-06-24,2019-11-13
42,2017-01-02,2017-06-24,2020-10-13
42,2017-01-02,2017-06-24,2021-08-12
42,2017-01-02,2017-06-24,2022-05-07
42,2017-01-02,2017-06-24,2023-01-20
42,2017-01-02,2017-06-24,2023-10-05
43,2020-04-11,2020-04-15,2021-02-25
43,2020-04-11,2020-04-15,2022-03-11
43,2020-04-11,2020-04-15,2023-02-10
43,2020-04-11,2020-04-15,2023-12-23
44,2015-08-10,2015-12-01,2016-10-31
44,2015-08-10,2015-12-01,2017-11-23
44,2015-08-10,2015-12-01,2018-10-09
44,2015-08-10,2015-12-01,2019-09-09
44,2015-08-10,2015-12-01,2020-07-15
44,2015-08-10,2015-12-01,2021-03-16
44,2015-08-10,2015-12-01,2021-12-13
44,2015-08-10,2015-12-01,2022-08-22
44,2015-08-10,2015-12-01,2023-04-10
44,2015-08-10,2015-12-01,2023-11-11
45,2019-09-18,2019-10-20,2020-11-17
45,2019-09-18,2019-10-20,2021-11-15
45,2019-09-18,2019-10-20,2022-10-05
45,2019-09-18,2019-10-20,2023-06-22
46,2017-07-10,2017-08-13,2018-09-08
46,2017-07-10,2017-08-13,2019-11-04
46,2017-07-10,2017-08-13,2020-10-23
46,2017-07-10,2017-08-13,2021-06-23
46,2017-07-10,2017-08-13,2022-04-09
46,2017-07-10,2017-08-13,2023-02-24
46,2017-07-10,2017-08-13,2023-11-21
47,2012-09-02,2012-12-03,2014-01-04
47,2012-09-02,2012-12-03,2014-11-21
47,2012-09-02,2012-12-03,2015-10-28
47,2012-09-02,2012-12-03,2016-08-22
47,2012-09-02,2012-12-03,2017-06-08
47,2012-09-02,2012-12-03,2018-04-01
47,2012-09-02,2012-12-03,2018-11-21
47,2012-09-02,2012-12-03,2019-08-25
47,2012-09-02,2012-12-03,2020-04-01
47,2012-09-02,2012-12-03,2020-11-11
47,2012-09-02,2012-12-03,2021-05-07
47,2012-09-02,2012-12-03,2021-12-03
47,2012-09-02,2012-12-03,2022-07-02
47,2012-09-02,2012-12-03,2022-12-13
47,2012-09-02,2012-12-03,2023-05-08
47,2012-09-02,2012-12-03,2023-10-15
48,2014-12-12,2015-03-17,2016-01-23
48,2014-12-12,2015-03-17,2016-11-27
48,2014-12-12,2015-03-17,2017-10-08
48,2014-12-12,2015-03-17,2018-07-23
48,2014-12-12,2015-03-17,2019-04-22
48,2014-12-12,2015-03-17,2019-12-01
48,2014-12-12,2015-03-17,2020-09-12
48,2014-12-12,2015-03-17,2021-06-02
48,2014-12-12,2015-03-17,2021-12-18
48,2014-12-12,2015-03-17,2022-09-07
48,2014-12-12,2015-03-17,2023-05-16
48,2014-12-12,2015-03-17,2023-11-18
49,2010-07-09,2010-09-19,2011-08-29
49,2010-07-09,2010-09-19,2012-08-15
49,2010-07-09,2010-09-19,2013-06-10
49,2010-07-09,2010-09-19,2014-06-24
49,2010-07-09,2010-09-19,2015-04-01
49,2010-07-09,2010-09-19,2016-01-03
49,2010-07-09,2010-09-19,2016-08-31
49,2010-07-09,2010-09-19,2017-06-18
49,2010-07-09,2010-09-19,2018-03-18
49,2010-07-09,2010-09-19,2018-11-23
49,2010-07-09,2010-09-19,2019-07-01
49,2010-07-09,2010-09-19,2019-12-25
49,2010-07-09,2010-09-19,2020-07-06
49,2010-07-09,2010-09-19,2020-12-21
49,2010-07-09,2010-09-19,2021-06-19
49,2010-07-09,2010-09-19,2021-12-02
49,2010-07-09,2010-09-19,2022-04-12
49,2010-07-09,2010-09-19,2022-09-05
49,2010-07-09,2010-09-19,2023-01-17
49,2010-07-09,2010-09-19,2023-04-12
50,2018-03-25,2018-05-03,2019-06-01
50,2018-03-25,2018-05-03,2020-04-24
50,2018-03-25,2018-05-03,2021-02-14
50,2018-03-25,2018-05-03,2021-11-24
50,2018-03-25,2018-05-03,2022-09-09
50,2018-03-25,2018-05-03,2023-06-27
51,2017-06-27,2017-11-28,2018-12-04
51,2017-06-27,2017-11-28,2019-12-03
51,2017-06-27,2017-11-28,2020-12-22
51,2017-06-27,2017-11-28,2021-09-18
51,2017-06-27,2017-11-28,2022-06-23
51,2017-06-27,2017-11-28,2023-03-30
52,2018-03-25,2018-09-03,2019-08-22
52,2018-03-25,2018-09-03,2020-09-12
52,2018-03-25,2018-09-03,2021-05-31
52,2018-03-25,2018-09-03,2022-02-26
52,2018-03-25,2018-09-03,2022-12-28
52,2018-03-25,2018-09-03,2023-08-24
53,2011-07-17,2011-11-12,2012-10-22
53,2011-07-17,2011-11-12,2013-10-29
53,2011-07-17,2011-11-12,2014-07-19
53,2011-07-17,2011-11-12,2015-05-31
53,2011-07-17,2011-11-12,2016-04-19
53,2011-07-17,2011-11-12,2017-01-14
53,2011-07-17,2011-11-12,2017-09-22
53,2011-07-17,2011-11-12,2018-06-06
53,2011-07-17,2011-11-12,2019-01-21
53,2011-07-17,2011-11-12,2019-09-29
53,2011-07-17,2011-11-12,2020-03-31
53,2011-07-17,2011-11-12,2020-10-13
53,2011-07-17,2011-11-12,2021-04-21
53,2011-07-17,2011-11-12,2021-10-07
53,2011-07-17,2011-11-12,2022-02-03
53,2011-07-17,2011-11-12,2022-07-10
53,2011-07-17,2011-11-12,2022-12-22
53,2011-07-17,2011-11-12,2023-05-24
53,2011-07-17,2011-11-12,2023-10-10
54,2015-03-15,2015-03-18,2016-03-31
54,2015-03-15,2015-03-18,2017-02-18
54,2015-03-15,2015-03-18,2018-01-22
54,2015-03-15,2015-03-18,2018-11-29
54,2015-03-15,2015-03-18,2019-08-18
54,2015-03-15,2015-03-18,2020-04-25
54,2015-03-15,2015-03-18,2021-01-22
54,2015-03-15,2015-03-18,2021-09-21
54,2015-03-15,2015-03-18,2022-04-24
54,2015-03-15,2015-03-18,2022-11-12
54,2015-03-15,2015-03-18,2023-06-05
55,2019-12-18,2020-04-19,2021-03-30
55,2019-12-18,2020-04-19,2022-03-10
55,2019-12-18,2020-04-19,2023-02-03
55,2019-12-18,2020-04-19,2023-11-04
56,2013-06-21,2013-08-10,2014-07-03
56,2013-06-21,2013-08-10,2015-06-23
56,2013-06-21,2013-08-10,2016-05-18
56,2013-06-21,2013-08-10,2017-04-14
56,2013-06-21,2013-08-10,2018-02-02
56,2013-06-21,2013-08-10,2018-11-01
56,2013-06-21,2013-08-10,2019-07-03
56,2013-06-21,2013-08-10,2020-03-27
56,2013-06-21,2013-08-10,2020-10-24
56,2013-06-21,2013-08-10,2021-05-08
56,2013-06-21,2013-08-10,2021-12-16
56,2013-06-21,2013-08-10,2022-06-05
56,2013-06-21,2013-08-10,2023-01-25
56,2013-06-21,2013-08-10,2023-07-21
57,2017-11-19,2017-12-01,2018-11-01
57,2017-11-19,2017-12-01,2019-10-02
