Device ID,Manufacture Date,Installation Date,Fault Date,Fault Age,Next Fault Date,Fault Interval Days
4,2013-07-18,2013-11-04,2020-02-26,2305,2020-11-04,252.0
4,2013-07-18,2013-11-04,2020-11-04,2557,2021-06-02,210.0
4,2013-07-18,2013-11-04,2021-06-02,2767,2022-01-22,234.0
4,2013-07-18,2013-11-04,2022-01-22,3001,2022-08-05,195.0
4,2013-07-18,2013-11-04,2022-08-05,3196,2023-02-10,189.0
4,2013-07-18,2013-11-04,2023-02-10,3385,2023-08-05,176.0
5,2013-02-04,2013-02-09,2014-05-10,455,2015-03-29,323.0
5,2013-02-04,2013-02-09,2015-03-29,778,2016-03-18,355.0
5,2013-02-04,2013-02-09,2016-03-18,1133,2016-12-12,269.0
5,2013-02-04,2013-02-09,2016-12-12,1402,2017-10-06,298.0
5,2013-02-04,2013-02-09,2017-10-06,1700,2018-07-17,284.0
5,2013-02-04,2013-02-09,2018-07-17,1984,2019-03-29,255.0
5,2013-02-04,2013-02-09,2019-03-29,2239,2019-11-12,228.0
5,2013-02-04,2013-02-09,2019-11-12,2467,2020-06-22,223.0
5,2013-02-04,2013-02-09,2020-06-22,2690,2021-01-16,208.0
5,2013-02-04,2013-02-09,2021-01-16,2898,2021-09-28,255.0
5,2013-02-04,2013-02-09,2021-09-28,3153,2022-04-07,191.0
5,2013-02-04,2013-02-09,2022-04-07,3344,2022-10-15,191.0
5,2013-02-04,2013-02-09,2022-10-15,3535,2023-05-04,201.0
5,2013-02-04,2013-02-09,2023-05-04,3736,2023-09-27,146.0
6,2012-12-31,2013-04-29,2014-04-19,355,2015-03-27,342.0
6,2012-12-31,2013-04-29,2015-03-27,697,2016-02-10,320.0
6,2012-12-31,2013-04-29,2016-02-10,1017,2016-11-22,286.0
6,2012-12-31,2013-04-29,2016-11-22,1303,2017-09-17,299.0
6,2012-12-31,2013-04-29,2017-09-17,1602,2018-05-22,247.0
6,2012-12-31,2013-04-29,2018-05-22,1849,2019-03-07,289.0
6,2012-12-31,2013-04-29,2019-03-07,2138,2019-11-25,263.0
6,2012-12-31,2013-04-29,2019-11-25,2401,2020-07-04,222.0
6,2012-12-31,2013-04-29,2020-07-04,2623,2021-01-31,211.0
6,2012-12-31,2013-04-29,2021-01-31,2834,2021-09-03,215.0
6,2012-12-31,2013-04-29,2021-09-03,3049,2022-03-04,182.0
6,2012-12-31,2013-04-29,2022-03-04,3231,2022-10-12,222.0
6,2012-12-31,2013-04-29,2022-10-12,3453,2023-04-12,182.0
6,2012-12-31,2013-04-29,2023-04-12,3635,2023-10-01,172.0
7,2020-04-30,2020-06-02,2021-05-11,343,2022-05-29,383.0
7,2020-04-30,2020-06-02,2022-05-29,726,2023-04-22,328.0
8,2018-06-20,2018-10-16,2019-10-08,357,2020-11-01,390.0
8,2018-06-20,2018-10-16,2020-11-01,747,2021-10-04,337.0
8,2018-06-20,2018-10-16,2021-10-04,1084,2022-10-11,372.0
8,2018-06-20,2018-10-16,2022-10-11,1456,2023-07-12,274.0
9,2014-06-27,2014-08-31,2015-07-24,327,2016-06-16,328.0
9,2014-06-27,2014-08-31,2016-06-16,655,2017-05-31,349.0
9,2014-06-27,2014-08-31,2017-05-31,1004,2018-05-11,345.0
9,2014-06-27,2014-08-31,2018-05-11,1349,2019-05-23,377.0
9,2014-06-27,2014-08-31,2019-05-23,1726,2020-02-14,267.0
9,2014-06-27,2014-08-31,2020-02-14,1993,2020-10-02,231.0
9,2014-06-27,2014-08-31,2020-10-02,2224,2021-06-20,261.0
9,2014-06-27,2014-08-31,2021-06-20,2485,2022-01-09,203.0
9,2014-06-27,2014-08-31,2022-01-09,2688,2022-08-27,230.0
9,2014-06-27,2014-08-31,2022-08-27,2918,2023-03-09,194.0
9,2014-06-27,2014-08-31,2023-03-09,3112,2023-09-23,198.0
10,2015-12-10,2016-05-04,2017-04-29,360,2018-05-11,377.0
10,2015-12-10,2016-05-04,2018-05-11,737,2019-04-28,352.0
10,2015-12-10,2016-05-04,2019-04-28,1089,2020-01-01,248.0
10,2015-12-10,2016-05-04,2020-01-01,1337,2020-09-22,265.0
10,2015-12-10,2016-05-04,2020-09-22,1602,2021-05-13,233.0
10,2015-12-10,2016-05-04,2021-05-13,1835,2022-03-26,317.0
10,2015-12-10,2016-05-04,2022-03-26,2152,2022-11-25,244.0
10,2015-12-10,2016-05-04,2022-11-25,2396,2023-08-27,275.0
11,2011-04-12,2011-10-06,2012-09-14,344,2013-09-22,373.0
11,2011-04-12,2011-10-06,2013-09-22,717,2014-08-19,331.0
11,2011-04-12,2011-10-06,2014-08-19,1048,2015-07-09,324.0
11,2011-04-12,2011-10-06,2015-07-09,1372,2016-03-18,253.0
11,2011-04-12,2011-10-06,2016-03-18,1625,2017-01-26,314.0
11,2011-04-12,2011-10-06,2017-01-26,1939,2017-10-31,278.0
11,2011-04-12,2011-10-06,2017-10-31,2217,2018-07-11,253.0
11,2011-04-12,2011-10-06,2018-07-11,2470,2019-02-09,213.0
11,2011-04-12,2011-10-06,2019-02-09,2683,2019-09-22,225.0
11,2011-04-12,2011-10-06,2019-09-22,2908,2020-04-08,199.0
11,2011-04-12,2011-10-06,2020-04-08,3107,2020-09-17,162.0
11,2011-04-12,2011-10-06,2020-09-17,3269,2021-03-21,185.0
11,2011-04-12,2011-10-06,2021-03-21,3454,2021-09-10,173.0
11,2011-04-12,2011-10-06,2021-09-10,3627,2022-03-13,184.0
11,2011-04-12,2011-10-06,2022-03-13,3811,2022-07-12,121.0
11,2011-04-12,2011-10-06,2022-07-12,3932,2022-12-12,153.0
11,2011-04-12,2011-10-06,2022-12-12,4085,2023-04-15,124.0
11,2011-04-12,2011-10-06,2023-04-15,4209,2023-08-31,138.0
12,2013-05-23,2013-06-03,2014-05-30,361,2015-06-07,373.0
12,2013-05-23,2013-06-03,2015-06-07,734,2016-03-17,284.0
12,2013-05-23,2013-06-03,2016-03-17,1018,2017-02-23,343.0
12,2013-05-23,2013-06-03,2017-02-23,1361,2017-11-19,269.0
12,2013-05-23,2013-06-03,2017-11-19,1630,2018-07-09,232.0
12,2013-05-23,2013-06-03,2018-07-09,1862,2019-03-21,255.0
12,2013-05-23,2013-06-03,2019-03-21,2117,2019-10-03,196.0
12,2013-05-23,2013-06-03,2019-10-03,2313,2020-06-03,244.0
12,2013-05-23,2013-06-03,2020-06-03,2557,2021-01-08,219.0
12,2013-05-23,2013-06-03,2021-01-08,2776,2021-09-04,239.0
12,2013-05-23,2013-06-03,2021-09-04,3015,2022-04-04,212.0
12,2013-05-23,2013-06-03,2022-04-04,3227,2022-09-13,162.0
12,2013-05-23,2013-06-03,2022-09-13,3389,2023-02-24,164.0
12,2013-05-23,2013-06-03,2023-02-24,3553,2023-08-22,179.0
13,2010-11-27,2011-02-20,2012-04-04,409,2013-04-23,384.0
13,2010-11-27,2011-02-20,2013-04-23,793,2014-03-07,318.0
13,2010-11-27,2011-02-20,2014-03-07,1111,2015-01-16,315.0
13,2010-11-27,2011-02-20,2015-01-16,1426,2015-12-06,324.0
13,2010-11-27,2011-02-20,2015-12-06,1750,2016-08-23,261.0
13,2010-11-27,2011-02-20,2016-08-23,2011,2017-05-14,264.0
13,2010-11-27,2011-02-20,2017-05-14,2275,2018-01-01,232.0
13,2010-11-27,2011-02-20,2018-01-01,2507,2018-08-04,215.0
13,2010-11-27,2011-02-20,2018-08-04,2722,2019-03-08,216.0
13,2010-11-27,2011-02-20,2019-03-08,2938,2019-09-14,190.0
13,2010-11-27,2011-02-20,2019-09-14,3128,2020-03-23,191.0
13,2010-11-27,2011-02-20,2020-03-23,3319,2020-09-03,164.0
13,2010-11-27,2011-02-20,2020-09-03,3483,2021-02-20,170.0
13,2010-11-27,2011-02-20,2021-02-20,3653,2021-08-11,172.0
13,2010-11-27,2011-02-20,2021-08-11,3825,2022-01-04,146.0
13,2010-11-27,2011-02-20,2022-01-04,3971,2022-05-31,147.0
13,2010-11-27,2011-02-20,2022-05-31,4118,2022-10-19,141.0
13,2010-11-27,2011-02-20,2022-10-19,4259,2023-03-05,137.0
13,2010-11-27,2011-02-20,2023-03-05,4396,2023-07-05,122.0
14,2014-01-22,2014-02-17,2015-03-28,404,2015-12-23,270.0
14,2014-01-22,2014-02-17,2015-12-23,674,2017-02-19,424.0
14,2014-01-22,2014-02-17,2017-02-19,1098,2017-11-24,278.0
14,2014-01-22,2014-02-17,2017-11-24,1376,2018-09-21,301.0
14,2014-01-22,2014-02-17,2018-09-21,1677,2019-05-26,247.0
14,2014-01-22,2014-02-17,2019-05-26,1924,2020-02-26,276.0
14,2014-01-22,2014-02-17,2020-02-26,2200,2020-11-03,251.0
14,2014-01-22,2014-02-17,2020-11-03,2451,2021-06-06,215.0
14,2014-01-22,2014-02-17,2021-06-06,2666,2022-02-03,242.0
14,2014-01-22,2014-02-17,2022-02-03,2908,2022-08-24,202.0
14,2014-01-22,2014-02-17,2022-08-24,3110,2023-03-17,205.0
14,2014-01-22,2014-02-17,2023-03-17,3315,2023-08-30,166.0
15,2015-11-06,2016-01-08,2017-03-21,438,2018-03-29,373.0
15,2015-11-06,2016-01-08,2018-03-29,811,2019-02-22,330.0
15,2015-11-06,2016-01-08,2019-02-22,1141,2019-12-07,288.0
15,2015-11-06,2016-01-08,2019-12-07,1429,2020-09-20,288.0
15,2015-11-06,2016-01-08,2020-09-20,1717,2021-06-23,276.0
15,2015-11-06,2016-01-08,2021-06-23,1993,2022-03-17,267.0
15,2015-11-06,2016-01-08,2022-03-17,2260,2022-10-18,215.0
15,2015-11-06,2016-01-08,2022-10-18,2475,2023-06-19,244.0
15,2015-11-06,2016-01-08,2023-06-19,2719,2023-12-28,192.0
16,2019-06-07,2019-09-01,2020-08-02,336,2021-07-24,356.0
16,2019-06-07,2019-09-01,2021-07-24,692,2022-07-18,359.0
16,2019-06-07,2019-09-01,2022-07-18,1051,2023-05-13,299.0
17,2018-09-07,2018-11-05,2019-12-27,417,2020-12-22,361.0
17,2018-09-07,2018-11-05,2020-12-22,778,2021-11-20,333.0
17,2018-09-07,2018-11-05,2021-11-20,1111,2022-07-30,252.0
17,2018-09-07,2018-11-05,2022-07-30,1363,2023-04-19,263.0
18,2017-12-29,2018-01-25,2019-02-14,385,2020-02-17,368.0
18,2017-12-29,2018-01-25,2020-02-17,753,2021-01-26,344.0
18,2017-12-29,2018-01-25,2021-01-26,1097,2022-01-05,344.0
18,2017-12-29,2018-01-25,2022-01-05,1441,2022-10-10,278.0
18,2017-12-29,2018-01-25,2022-10-10,1719,2023-07-11,274.0
19,2020-03-24,2020-09-17,2021-08-01,318,2022-05-18,290.0
19,2020-03-24,2020-09-17,2022-05-18,608,2023-03-16,302.0
20,2010-05-11,2010-10-19,2011-08-23,308,2012-07-25,337.0
20,2010-05-11,2010-10-19,2012-07-25,645,2013-05-08,287.0
20,2010-05-11,2010-10-19,2013-05-08,932,2014-02-27,295.0
20,2010-05-11,2010-10-19,2014-02-27,1227,2014-12-26,302.0
20,2010-05-11,2010-10-19,2014-12-26,1529,2015-09-13,261.0
20,2010-05-11,2010-10-19,2015-09-13,1790,2016-07-05,296.0
20,2010-05-11,2010-10-19,2016-07-05,2086,2017-04-20,289.0
20,2010-05-11,2010-10-19,2017-04-20,2375,2017-10-19,182.0
20,2010-05-11,2010-10-19,2017-10-19,2557,2018-05-16,209.0
20,2010-05-11,2010-10-19,2018-05-16,2766,2018-12-16,214.0
20,2010-05-11,2010-10-19,2018-12-16,2980,2019-07-28,224.0
20,2010-05-11,2010-10-19,2019-07-28,3204,2020-01-24,180.0
20,2010-05-11,2010-10-19,2020-01-24,3384,2020-07-21,179.0
20,2010-05-11,2010-10-19,2020-07-21,3563,2020-12-18,150.0
20,2010-05-11,2010-10-19,2020-12-18,3713,2021-05-03,136.0
20,2010-05-11,2010-10-19,2021-05-03,3849,2021-10-26,176.0
20,2010-05-11,2010-10-19,2021-10-26,4025,2022-02-21,118.0
20,2010-05-11,2010-10-19,2022-02-21,4143,2022-08-10,170.0
20,2010-05-11,2010-10-19,2022-08-10,4313,2022-12-26,138.0
21,2014-08-13,2014-11-19,2015-12-13,389,2016-12-10,363.0
21,2014-08-13,2014-11-19,2016-12-10,752,2017-10-21,315.0
21,2014-08-13,2014-11-19,2017-10-21,1067,2018-09-04,318.0
21,2014-08-13,2014-11-19,2018-09-04,1385,2019-06-14,283.0
21,2014-08-13,2014-11-19,2019-06-14,1668,2020-03-28,288.0
21,2014-08-13,2014-11-19,2020-03-28,1956,2020-12-10,257.0
21,2014-08-13,2014-11-19,2020-12-10,2213,2021-07-18,220.0
21,2014-08-13,2014-11-19,2021-07-18,2433,2022-02-14,211.0
21,2014-08-13,2014-11-19,2022-02-14,2644,2022-08-31,198.0
21,2014-08-13,2014-11-19,2022-08-31,2842,2023-04-17,229.0
21,2014-08-13,2014-11-19,2023-04-17,3071,2023-10-18,184.0
22,2019-04-04,2019-07-18,2020-07-31,379,2021-08-31,396.0
22,2019-04-04,2019-07-18,2021-08-31,775,2022-08-13,347.0
22,2019-04-04,2019-07-18,2022-08-13,1122,2023-05-25,285.0
23,2012-02-09,2012-05-18,2013-05-13,360,2014-04-17,339.0
23,2012-02-09,2012-05-18,2014-04-17,699,2015-02-06,295.0
23,2012-02-09,2012-05-18,2015-02-06,994,2015-12-30,327.0
23,2012-02-09,2012-05-18,2015-12-30,1321,2016-12-10,346.0
23,2012-02-09,2012-05-18,2016-12-10,1667,2017-09-15,279.0
23,2012-02-09,2012-05-18,2017-09-15,1946,2018-06-04,262.0
23,2012-02-09,2012-05-18,2018-06-04,2208,2019-01-11,221.0
23,2012-02-09,2012-05-18,2019-01-11,2429,2019-10-02,264.0
23,2012-02-09,2012-05-18,2019-10-02,2693,2020-05-04,215.0
23,2012-02-09,2012-05-18,2020-05-04,2908,2020-11-13,193.0
23,2012-02-09,2012-05-18,2020-11-13,3101,2021-05-28,196.0
23,2012-02-09,2012-05-18,2021-05-28,3297,2021-12-07,193.0
23,2012-02-09,2012-05-18,2021-12-07,3490,2022-06-01,176.0
23,2012-02-09,2012-05-18,2022-06-01,3666,2022-12-02,184.0
23,2012-02-09,2012-05-18,2022-12-02,3850,2023-05-11,160.0
23,2012-02-09,2012-05-18,2023-05-11,4010,2023-09-29,141.0
24,2016-07-19,2016-11-25,2017-12-13,383,2018-10-08,299.0
24,2016-07-19,2016-11-25,2018-10-08,682,2019-10-08,365.0
24,2016-07-19,2016-11-25,2019-10-08,1047,2020-08-01,298.0
24,2016-07-19,2016-11-25,2020-08-01,1345,2021-05-11,283.0
24,2016-07-19,2016-11-25,2021-05-11,1628,2022-03-03,296.0
24,2016-07-19,2016-11-25,2022-03-03,1924,2022-12-07,279.0
24,2016-07-19,2016-11-25,2022-12-07,2203,2023-07-22,227.0
25,2014-02-24,2014-07-23,2015-07-02,344,2016-08-14,409.0
25,2014-02-24,2014-07-23,2016-08-14,753,2017-06-06,296.0
25,2014-02-24,2014-07-23,2017-06-06,1049,2018-04-16,314.0
25,2014-02-24,2014-07-23,2018-04-16,1363,2019-01-08,267.0
25,2014-02-24,2014-07-23,2019-01-08,1630,2019-12-11,337.0
25,2014-02-24,2014-07-23,2019-12-11,1967,2020-07-23,225.0
25,2014-02-24,2014-07-23,2020-07-23,2192,2021-04-06,257.0
25,2014-02-24,2014-07-23,2021-04-06,2449,2021-11-05,213.0
25,2014-02-24,2014-07-23,2021-11-05,2662,2022-06-04,211.0
25,2014-02-24,2014-07-23,2022-06-04,2873,2023-01-07,217.0
25,2014-02-24,2014-07-23,2023-01-07,3090,2023-08-14,219.0
26,2019-07-18,2019-09-11,2020-07-15,308,2021-07-07,357.0
26,2019-07-18,2019-09-11,2021-07-07,665,2022-07-18,376.0
26,2019-07-18,2019-09-11,2022-07-18,1041,2023-03-31,256.0
27,2017-10-24,2017-10-30,2018-10-29,364,2019-10-23,359.0
27,2017-10-24,2017-10-30,2019-10-23,723,2020-08-18,300.0
27,2017-10-24,2017-10-30,2020-08-18,1023,2021-05-09,264.0
27,2017-10-24,2017-10-30,2021-05-09,1287,2022-01-02,238.0
27,2017-10-24,2017-10-30,2022-01-02,1525,2022-11-06,308.0
27,2017-10-24,2017-10-30,2022-11-06,1833,2023-08-26,293.0
28,2016-08-30,2016-12-03,2017-11-13,345,2018-08-29,289.0
28,2016-08-30,2016-12-03,2018-08-29,634,2019-08-12,348.0
28,2016-08-30,2016-12-03,2019-08-12,982,2020-05-14,276.0
28,2016-08-30,2016-12-03,2020-05-14,1258,2021-02-13,275.0
28,2016-08-30,2016-12-03,2021-02-13,1533,2021-11-04,264.0
28,2016-08-30,2016-12-03,2021-11-04,1797,2022-07-23,261.0
28,2016-08-30,2016-12-03,2022-07-23,2058,2023-03-13,233.0
28,2016-08-30,2016-12-03,2023-03-13,2291,2023-11-08,240.0
29,2013-04-30,2013-09-10,2014-10-05,390,2015-10-19,379.0
29,2013-04-30,2013-09-10,2015-10-19,769,2016-09-09,326.0
29,2013-04-30,2013-09-10,2016-09-09,1095,2017-07-25,319.0
29,2013-04-30,2013-09-10,2017-07-25,1414,2018-07-08,348.0
29,2013-04-30,2013-09-10,2018-07-08,1762,2019-03-02,237.0
29,2013-04-30,2013-09-10,2019-03-02,1999,2019-10-12,224.0
29,2013-04-30,2013-09-10,2019-10-12,2223,2020-06-28,260.0
29,2013-04-30,2013-09-10,2020-06-28,2483,2021-03-28,273.0
29,2013-04-30,2013-09-10,2021-03-28,2756,2021-10-22,208.0
29,2013-04-30,2013-09-10,2021-10-22,2964,2022-06-16,237.0
29,2013-04-30,2013-09-10,2022-06-16,3201,2022-12-24,191.0
29,2013-04-30,2013-09-10,2022-12-24,3392,2023-06-09,167.0
29,2013-04-30,2013-09-10,2023-06-09,3559,2023-11-09,153.0
30,2012-08-13,2012-11-23,2013-10-20,331,2014-10-04,349.0
30,2012-08-13,2012-11-23,2014-10-04,680,2015-10-18,379.0
30,2012-08-13,2012-11-23,2015-10-18,1059,2016-08-10,297.0
30,2012-08-13,2012-11-23,2016-08-10,1356,2017-07-04,328.0
30,2012-08-13,2012-11-23,2017-07-04,1684,2018-02-28,239.0
30,2012-08-13,2012-11-23,2018-02-28,1923,2018-10-31,245.0
30,2012-08-13,2012-11-23,2018-10-31,2168,2019-05-30,211.0
30,2012-08-13,2012-11-23,2019-05-30,2379,2020-01-21,236.0
30,2012-08-13,2012-11-23,2020-01-21,2615,2020-09-16,239.0
30,2012-08-13,2012-11-23,2020-09-16,2854,2021-04-14,210.0
30,2012-08-13,2012-11-23,2021-04-14,3064,2021-11-21,221.0
30,2012-08-13,2012-11-23,2021-11-21,3285,2022-05-11,171.0
30,2012-08-13,2012-11-23,2022-05-11,3456,2022-11-06,179.0
30,2012-08-13,2012-11-23,2022-11-06,3635,2023-04-12,157.0
30,2012-08-13,2012-11-23,2023-04-12,3792,2023-09-22,163.0
31,2016-05-13,2016-05-16,2017-06-06,386,2018-04-09,307.0
31,2016-05-13,2016-05-16,2018-04-09,693,2019-01-31,297.0
31,2016-05-13,2016-05-16,2019-01-31,990,2019-11-15,288.0
31,2016-05-13,2016-05-16,2019-11-15,1278,2020-08-28,287.0
31,2016-05-13,2016-05-16,2020-08-28,1565,2021-06-05,281.0
31,2016-05-13,2016-05-16,2021-06-05,1846,2022-03-14,282.0
31,2016-05-13,2016-05-16,2022-03-14,2128,2022-10-27,227.0
31,2016-05-13,2016-05-16,2022-10-27,2355,2023-05-13,198.0
32,2013-03-30,2013-04-22,2014-03-11,323,2015-03-22,376.0
32,2013-03-30,2013-04-22,2015-03-22,699,2016-02-12,327.0
32,2013-03-30,2013-04-22,2016-02-12,1026,2016-12-24,316.0
32,2013-03-30,2013-04-22,2016-12-24,1342,2017-10-11,291.0
32,2013-03-30,2013-04-22,2017-10-11,1633,2018-07-02,264.0
32,2013-03-30,2013-04-22,2018-07-02,1897,2019-04-01,273.0
32,2013-03-30,2013-04-22,2019-04-01,2170,2019-11-22,235.0
32,2013-03-30,2013-04-22,2019-11-22,2405,2020-08-08,260.0
32,2013-03-30,2013-04-22,2020-08-08,2665,2021-03-27,231.0
32,2013-03-30,2013-04-22,2021-03-27,2896,2021-10-31,218.0
32,2013-03-30,2013-04-22,2021-10-31,3114,2022-05-03,184.0
32,2013-03-30,2013-04-22,2022-05-03,3298,2022-10-30,180.0
32,2013-03-30,2013-04-22,2022-10-30,3478,2023-04-01,153.0
32,2013-03-30,2013-04-22,2023-04-01,3631,2023-09-08,160.0
33,2011-04-05,2011-05-28,2012-07-13,412,2013-06-22,344.0
33,2011-04-05,2011-05-28,2013-06-22,756,2014-05-17,329.0
33,2011-04-05,2011-05-28,2014-05-17,1085,2015-03-11,298.0
33,2011-04-05,2011-05-28,2015-03-11,1383,2015-12-30,294.0
33,2011-04-05,2011-05-28,2015-12-30,1677,2016-12-04,340.0
33,2011-04-05,2011-05-28,2016-12-04,2017,2017-08-07,246.0
33,2011-04-05,2011-05-28,2017-08-07,2263,2018-03-20,225.0
33,2011-04-05,2011-05-28,2018-03-20,2488,2018-11-15,240.0
33,2011-04-05,2011-05-28,2018-11-15,2728,2019-04-25,161.0
33,2011-04-05,2011-05-28,2019-04-25,2889,2019-11-19,208.0
33,2011-04-05,2011-05-28,2019-11-19,3097,2020-05-25,188.0
33,2011-04-05,2011-05-28,2020-05-25,3285,2020-11-07,166.0
33,2011-04-05,2011-05-28,2020-11-07,3451,2021-05-10,184.0
33,2011-04-05,2011-05-28,2021-05-10,3635,2021-10-23,166.0
33,2011-04-05,2011-05-28,2021-10-23,3801,2022-02-28,128.0
33,2011-04-05,2011-05-28,2022-02-28,3929,2022-07-18,140.0
33,2011-04-05,2011-05-28,2022-07-18,4069,2022-10-27,101.0
33,2011-04-05,2011-05-28,2022-10-27,4170,2023-03-16,140.0
33,2011-04-05,2011-05-28,2023-03-16,4310,2023-07-26,132.0
34,2019-04-09,2019-09-21,2020-08-22,336,2021-08-22,365.0
34,2019-04-09,2019-09-21,2021-08-22,701,2022-06-02,284.0
34,2019-04-09,2019-09-21,2022-06-02,985,2023-03-09,280.0
35,2010-01-22,2010-04-15,2011-03-20,339,2012-02-27,344.0
35,2010-01-22,2010-04-15,2012-02-27,683,2013-01-01,309.0
35,2010-01-22,2010-04-15,2013-01-01,992,2013-10-25,297.0
35,2010-01-22,2010-04-15,2013-10-25,1289,2014-08-04,283.0
35,2010-01-22,2010-04-15,2014-08-04,1572,2015-04-20,259.0
35,2010-01-22,2010-04-15,2015-04-20,1831,2016-01-17,272.0
35,2010-01-22,2010-04-15,2016-01-17,2103,2016-09-07,234.0
35,2010-01-22,2010-04-15,2016-09-07,2337,2017-05-02,237.0
35,2010-01-22,2010-04-15,2017-05-02,2574,2017-11-25,207.0
35,2010-01-22,2010-04-15,2017-11-25,2781,2018-05-24,180.0
35,2010-01-22,2010-04-15,2018-05-24,2961,2018-12-31,221.0
35,2010-01-22,2010-04-15,2018-12-31,3182,2019-07-19,200.0
35,2010-01-22,2010-04-15,2019-07-19,3382,2020-02-24,220.0
35,2010-01-22,2010-04-15,2020-02-24,3602,2020-07-23,150.0
35,2010-01-22,2010-04-15,2020-07-23,3752,2020-12-26,156.0
35,2010-01-22,2010-04-15,2020-12-26,3908,2021-05-24,149.0
35,2010-01-22,2010-04-15,2021-05-24,4057,2021-10-27,156.0
35,2010-01-22,2010-04-15,2021-10-27,4213,2022-03-03,127.0
35,2010-01-22,2010-04-15,2022-03-03,4340,2022-06-23,112.0
36,2016-04-19,2016-09-11,2017-10-25,409,2018-09-21,331.0
36,2016-04-19,2016-09-11,2018-09-21,740,2019-09-08,352.0
36,2016-04-19,2016-09-11,2019-09-08,1092,2020-08-01,328.0
36,2016-04-19,2016-09-11,2020-08-01,1420,2021-05-14,286.0
36,2016-04-19,2016-09-11,2021-05-14,1706,2022-02-04,266.0
36,2016-04-19,2016-09-11,2022-02-04,1972,2022-10-08,246.0
36,2016-04-19,2016-09-11,2022-10-08,2218,2023-06-08,243.0
37,2012-01-18,2012-04-12,2013-03-13,335,2014-02-26,350.0
37,2012-01-18,2012-04-12,2014-02-26,685,2014-12-13,290.0
37,2012-01-18,2012-04-12,2014-12-13,975,2015-09-19,280.0
37,2012-01-18,2012-04-12,2015-09-19,1255,2016-07-10,295.0
37,2012-01-18,2012-04-12,2016-07-10,1550,2017-02-20,225.0
37,2012-01-18,2012-04-12,2017-02-20,1775,2018-01-08,322.0
37,2012-01-18,2012-04-12,2018-01-08,2097,2018-08-16,220.0
37,2012-01-18,2012-04-12,2018-08-16,2317,2019-04-10,237.0
37,2012-01-18,2012-04-12,2019-04-10,2554,2019-12-17,251.0
37,2012-01-18,2012-04-12,2019-12-17,2805,2020-06-27,193.0
37,2012-01-18,2012-04-12,2020-06-27,2998,2020-11-28,154.0
37,2012-01-18,2012-04-12,2020-11-28,3152,2021-05-30,183.0
37,2012-01-18,2012-04-12,2021-05-30,3335,2021-11-12,166.0
37,2012-01-18,2012-04-12,2021-11-12,3501,2022-03-25,133.0
37,2012-01-18,2012-04-12,2022-03-25,3634,2022-09-11,170.0
37,2012-01-18,2012-04-12,2022-09-11,3804,2023-02-17,159.0
37,2012-01-18,2012-04-12,2023-02-17,3963,2023-07-31,164.0
37,2012-01-18,2012-04-12,2023-07-31,4127,2023-12-01,123.0
38,2017-12-14,2018-03-02,2019-02-15,350,2020-01-23,342.0
38,2017-12-14,2018-03-02,2020-01-23,692,2021-01-14,357.0
38,2017-12-14,2018-03-02,2021-01-14,1049,2021-12-30,350.0
