设备编号,出厂日期,安装日期,故障日期,事件,观测结束日期,持续时间
3,2005-12-12,2006-05-26,2014-04-12,1,2014-04-12,2878
3,2005-12-12,2006-05-26,2014-09-05,1,2014-09-05,3024
3,2005-12-12,2006-05-26,2014-12-05,1,2014-12-05,3115
3,2005-12-12,2006-05-26,2015-10-06,1,2015-10-06,3420
3,2005-12-12,2006-05-26,2016-09-13,1,2016-09-13,3763
3,2005-12-12,2006-05-26,2016-12-30,1,2016-12-30,3871
3,2005-12-12,2006-05-26,2017-03-24,1,2017-03-24,3955
3,2005-12-12,2006-05-26,2017-04-02,1,2017-04-02,3964
3,2005-12-12,2006-05-26,2018-01-09,1,2018-01-09,4246
3,2005-12-12,2006-05-26,2018-07-29,1,2018-07-29,4447
3,2005-12-12,2006-05-26,2018-11-10,1,2018-11-10,4551
3,2005-12-12,2006-05-26,2019-03-16,1,2019-03-16,4677
3,2005-12-12,2006-05-26,2020-04-26,1,2020-04-26,5084
4,2006-02-20,2006-03-10,2006-04-14,1,2006-04-14,35
4,2006-02-20,2006-03-10,2007-03-20,1,2007-03-20,375
4,2006-02-20,2006-03-10,2007-07-26,1,2007-07-26,503
4,2006-02-20,2006-03-10,2007-08-15,1,2007-08-15,523
4,2006-02-20,2006-03-10,2007-10-21,1,2007-10-21,590
4,2006-02-20,2006-03-10,2008-05-17,1,2008-05-17,799
4,2006-02-20,2006-03-10,2009-06-24,1,2009-06-24,1202
4,2006-02-20,2006-03-10,2009-07-14,1,2009-07-14,1222
4,2006-02-20,2006-03-10,2009-12-30,1,2009-12-30,1391
4,2006-02-20,2006-03-10,2010-07-22,1,2010-07-22,1595
4,2006-02-20,2006-03-10,2010-09-18,1,2010-09-18,1653
4,2006-02-20,2006-03-10,2011-05-30,1,2011-05-30,1907
4,2006-02-20,2006-03-10,2011-06-18,1,2011-06-18,1926
4,2006-02-20,2006-03-10,2011-08-06,1,2011-08-06,1975
4,2006-02-20,2006-03-10,2011-08-06,1,2011-08-06,1975
4,2006-02-20,2006-03-10,2011-12-09,1,2011-12-09,2100
4,2006-02-20,2006-03-10,2012-02-02,1,2012-02-02,2155
4,2006-02-20,2006-03-10,2012-02-16,1,2012-02-16,2169
4,2006-02-20,2006-03-10,2013-03-04,1,2013-03-04,2551
4,2006-02-20,2006-03-10,2013-04-12,1,2013-04-12,2590
4,2006-02-20,2006-03-10,2013-09-09,1,2013-09-09,2740
4,2006-02-20,2006-03-10,2013-11-05,1,2013-11-05,2797
4,2006-02-20,2006-03-10,2014-04-17,1,2014-04-17,2960
4,2006-02-20,2006-03-10,2014-10-25,1,2014-10-25,3151
4,2006-02-20,2006-03-10,2015-06-14,1,2015-06-14,3383
4,2006-02-20,2006-03-10,2015-08-16,1,2015-08-16,3446
4,2006-02-20,2006-03-10,2015-08-24,1,2015-08-24,3454
4,2006-02-20,2006-03-10,2016-08-08,1,2016-08-08,3804
4,2006-02-20,2006-03-10,2018-04-26,1,2018-04-26,4430
4,2006-02-20,2006-03-10,2019-05-22,1,2019-05-22,4821
4,2006-02-20,2006-03-10,2019-06-06,1,2019-06-06,4836
4,2006-02-20,2006-03-10,2020-03-08,1,2020-03-08,5112
4,2006-02-20,2006-03-10,2020-07-05,1,2020-07-05,5231
5,2016-01-12,2016-06-24,2016-12-11,1,2016-12-11,170
5,2016-01-12,2016-06-24,2017-04-27,1,2017-04-27,307
5,2016-01-12,2016-06-24,2017-11-15,1,2017-11-15,509
5,2016-01-12,2016-06-24,2018-05-06,1,2018-05-06,681
5,2016-01-12,2016-06-24,2018-10-07,1,2018-10-07,835
5,2016-01-12,2016-06-24,2018-11-03,1,2018-11-03,862
5,2016-01-12,2016-06-24,2019-10-29,1,2019-10-29,1222
5,2016-01-12,2016-06-24,2020-07-07,1,2020-07-07,1474
6,2003-10-05,2004-01-25,2004-11-02,1,2004-11-02,282
6,2003-10-05,2004-01-25,2005-04-08,1,2005-04-08,439
6,2003-10-05,2004-01-25,2006-06-30,1,2006-06-30,887
6,2003-10-05,2004-01-25,2007-01-07,1,2007-01-07,1078
6,2003-10-05,2004-01-25,2007-03-14,1,2007-03-14,1144
6,2003-10-05,2004-01-25,2007-04-17,1,2007-04-17,1178
6,2003-10-05,2004-01-25,2007-09-30,1,2007-09-30,1344
6,2003-10-05,2004-01-25,2008-05-26,1,2008-05-26,1583
6,2003-10-05,2004-01-25,2009-04-03,1,2009-04-03,1895
6,2003-10-05,2004-01-25,2009-06-02,1,2009-06-02,1955
6,2003-10-05,2004-01-25,2010-07-25,1,2010-07-25,2373
6,2003-10-05,2004-01-25,2010-12-27,1,2010-12-27,2528
6,2003-10-05,2004-01-25,2011-08-15,1,2011-08-15,2759
6,2003-10-05,2004-01-25,2012-06-07,1,2012-06-07,3056
6,2003-10-05,2004-01-25,2013-10-01,1,2013-10-01,3537
6,2003-10-05,2004-01-25,2013-12-01,1,2013-12-01,3598
6,2003-10-05,2004-01-25,2014-02-28,1,2014-02-28,3687
6,2003-10-05,2004-01-25,2015-04-18,1,2015-04-18,4101
6,2003-10-05,2004-01-25,2016-03-06,1,2016-03-06,4424
6,2003-10-05,2004-01-25,2016-06-05,1,2016-06-05,4515
6,2003-10-05,2004-01-25,2016-09-26,1,2016-09-26,4628
6,2003-10-05,2004-01-25,2017-05-11,1,2017-05-11,4855
6,2003-10-05,2004-01-25,2017-05-22,1,2017-05-22,4866
6,2003-10-05,2004-01-25,2017-08-12,1,2017-08-12,4948
6,2003-10-05,2004-01-25,2017-09-22,1,2017-09-22,4989
6,2003-10-05,2004-01-25,2018-01-31,1,2018-01-31,5120
6,2003-10-05,2004-01-25,2018-10-24,1,2018-10-24,5386
6,2003-10-05,2004-01-25,2018-11-18,1,2018-11-18,5411
7,2012-02-05,2012-04-12,2012-08-03,1,2012-08-03,113
7,2012-02-05,2012-04-12,2013-04-26,1,2013-04-26,379
7,2012-02-05,2012-04-12,2013-07-13,1,2013-07-13,457
7,2012-02-05,2012-04-12,2013-11-10,1,2013-11-10,577
7,2012-02-05,2012-04-12,2015-07-05,1,2015-07-05,1179
7,2012-02-05,2012-04-12,2016-01-31,1,2016-01-31,1389
7,2012-02-05,2012-04-12,2016-02-04,1,2016-02-04,1393
7,2012-02-05,2012-04-12,2016-03-22,1,2016-03-22,1440
7,2012-02-05,2012-04-12,2016-05-15,1,2016-05-15,1494
7,2012-02-05,2012-04-12,2017-12-10,1,2017-12-10,2068
7,2012-02-05,2012-04-12,2018-08-31,1,2018-08-31,2332
7,2012-02-05,2012-04-12,2019-03-23,1,2019-03-23,2536
7,2012-02-05,2012-04-12,2019-04-04,1,2019-04-04,2548
7,2012-02-05,2012-04-12,2020-01-22,1,2020-01-22,2841
7,2012-02-05,2012-04-12,2020-02-27,1,2020-02-27,2877
7,2012-02-05,2012-04-12,2020-03-26,1,2020-03-26,2905
8,2009-12-18,2010-04-30,2010-04-30,1,2010-04-30,0
8,2009-12-18,2010-04-30,2010-05-11,1,2010-05-11,11
8,2009-12-18,2010-04-30,2011-08-07,1,2011-08-07,464
8,2009-12-18,2010-04-30,2011-09-28,1,2011-09-28,516
8,2009-12-18,2010-04-30,2012-06-21,1,2012-06-21,783
8,2009-12-18,2010-04-30,2012-12-30,1,2012-12-30,975
8,2009-12-18,2010-04-30,2013-01-20,1,2013-01-20,996
8,2009-12-18,2010-04-30,2013-11-01,1,2013-11-01,1281
8,2009-12-18,2010-04-30,2013-12-12,1,2013-12-12,1322
8,2009-12-18,2010-04-30,2014-07-13,1,2014-07-13,1535
8,2009-12-18,2010-04-30,2014-10-07,1,2014-10-07,1621
8,2009-12-18,2010-04-30,2015-02-25,1,2015-02-25,1762
8,2009-12-18,2010-04-30,2016-08-04,1,2016-08-04,2288
8,2009-12-18,2010-04-30,2016-09-26,1,2016-09-26,2341
8,2009-12-18,2010-04-30,2016-11-29,1,2016-11-29,2405
8,2009-12-18,2010-04-30,2017-01-30,1,2017-01-30,2467
8,2009-12-18,2010-04-30,2017-04-23,1,2017-04-23,2550
8,2009-12-18,2010-04-30,2017-09-24,1,2017-09-24,2704
8,2009-12-18,2010-04-30,2018-07-10,1,2018-07-10,2993
8,2009-12-18,2010-04-30,2019-08-16,1,2019-08-16,3395
8,2009-12-18,2010-04-30,2019-08-27,1,2019-08-27,3406
8,2009-12-18,2010-04-30,2020-03-03,1,2020-03-03,3595
8,2009-12-18,2010-04-30,2020-08-11,1,2020-08-11,3756
9,2019-08-08,2019-10-10,2020-07-19,1,2020-07-19,283
10,2016-09-26,2017-02-18,2017-10-24,1,2017-10-24,248
10,2016-09-26,2017-02-18,2017-11-26,1,2017-11-26,281
10,2016-09-26,2017-02-18,2019-06-05,1,2019-06-05,837
10,2016-09-26,2017-02-18,2020-05-30,1,2020-05-30,1197
10,2016-09-26,2017-02-18,2020-08-02,1,2020-08-02,1261
10,2016-09-26,2017-02-18,2020-08-25,1,2020-08-25,1284
11,2009-04-04,2009-07-19,2011-05-24,1,2011-05-24,674
11,2009-04-04,2009-07-19,2011-06-17,1,2011-06-17,698
11,2009-04-04,2009-07-19,2011-12-23,1,2011-12-23,887
11,2009-04-04,2009-07-19,2011-12-24,1,2011-12-24,888
11,2009-04-04,2009-07-19,2011-12-30,1,2011-12-30,894
11,2009-04-04,2009-07-19,2012-10-01,1,2012-10-01,1170
11,2009-04-04,2009-07-19,2013-08-01,1,2013-08-01,1474
11,2009-04-04,2009-07-19,2013-10-17,1,2013-10-17,1551
11,2009-04-04,2009-07-19,2014-01-31,1,2014-01-31,1657
11,2009-04-04,2009-07-19,2014-10-30,1,2014-10-30,1929
11,2009-04-04,2009-07-19,2015-10-15,1,2015-10-15,2279
11,2009-04-04,2009-07-19,2015-12-12,1,2015-12-12,2337
11,2009-04-04,2009-07-19,2016-09-13,1,2016-09-13,2613
11,2009-04-04,2009-07-19,2016-10-23,1,2016-10-23,2653
11,2009-04-04,2009-07-19,2017-02-06,1,2017-02-06,2759
11,2009-04-04,2009-07-19,2017-09-22,1,2017-09-22,2987
11,2009-04-04,2009-07-19,2018-04-18,1,2018-04-18,3195
11,2009-04-04,2009-07-19,2018-08-21,1,2018-08-21,3320
11,2009-04-04,2009-07-19,2019-03-08,1,2019-03-08,3519
11,2009-04-04,2009-07-19,2019-03-17,1,2019-03-17,3528
11,2009-04-04,2009-07-19,2019-05-17,1,2019-05-17,3589
11,2009-04-04,2009-07-19,2019-06-29,1,2019-06-29,3632
11,2009-04-04,2009-07-19,2019-07-14,1,2019-07-14,3647
11,2009-04-04,2009-07-19,2019-08-24,1,2019-08-24,3688
11,2009-04-04,2009-07-19,2020-08-11,1,2020-08-11,4041
12,2004-05-09,2004-08-19,2005-01-03,1,2005-01-03,137
12,2004-05-09,2004-08-19,2005-05-02,1,2005-05-02,256
12,2004-05-09,2004-08-19,2005-08-21,1,2005-08-21,367
12,2004-05-09,2004-08-19,2007-03-19,1,2007-03-19,942
12,2004-05-09,2004-08-19,2008-08-08,1,2008-08-08,1450
12,2004-05-09,2004-08-19,2008-09-20,1,2008-09-20,1493
12,2004-05-09,2004-08-19,2008-10-07,1,2008-10-07,1510
12,2004-05-09,2004-08-19,2008-10-17,1,2008-10-17,1520
12,2004-05-09,2004-08-19,2009-01-04,1,2009-01-04,1599
12,2004-05-09,2004-08-19,2009-04-11,1,2009-04-11,1696
12,2004-05-09,2004-08-19,2009-06-01,1,2009-06-01,1747
12,2004-05-09,2004-08-19,2010-08-30,1,2010-08-30,2202
12,2004-05-09,2004-08-19,2011-07-22,1,2011-07-22,2528
12,2004-05-09,2004-08-19,2012-03-23,1,2012-03-23,2773
12,2004-05-09,2004-08-19,2012-07-20,1,2012-07-20,2892
12,2004-05-09,2004-08-19,2013-08-15,1,2013-08-15,3283
12,2004-05-09,2004-08-19,2015-01-19,1,2015-01-19,3805
12,2004-05-09,2004-08-19,2016-02-16,1,2016-02-16,4198
12,2004-05-09,2004-08-19,2016-04-10,1,2016-04-10,4252
12,2004-05-09,2004-08-19,2017-04-04,1,2017-04-04,4611
12,2004-05-09,2004-08-19,2017-06-20,1,2017-06-20,4688
12,2004-05-09,2004-08-19,2017-07-13,1,2017-07-13,4711
12,2004-05-09,2004-08-19,2018-03-14,1,2018-03-14,4955
12,2004-05-09,2004-08-19,2019-01-05,1,2019-01-05,5252
13,2008-03-13,2008-07-02,2008-10-28,1,2008-10-28,118
13,2008-03-13,2008-07-02,2008-12-19,1,2008-12-19,170
13,2008-03-13,2008-07-02,2008-12-31,1,2008-12-31,182
13,2008-03-13,2008-07-02,2009-04-05,1,2009-04-05,277
13,2008-03-13,2008-07-02,2009-09-07,1,2009-09-07,432
13,2008-03-13,2008-07-02,2010-01-08,1,2010-01-08,555
13,2008-03-13,2008-07-02,2010-02-08,1,2010-02-08,586
13,2008-03-13,2008-07-02,2010-05-02,1,2010-05-02,669
13,2008-03-13,2008-07-02,2011-07-25,1,2011-07-25,1118
13,2008-03-13,2008-07-02,2011-11-12,1,2011-11-12,1228
13,2008-03-13,2008-07-02,2012-03-20,1,2012-03-20,1357
13,2008-03-13,2008-07-02,2012-07-12,1,2012-07-12,1471
13,2008-03-13,2008-07-02,2012-10-07,1,2012-10-07,1558
13,2008-03-13,2008-07-02,2012-10-18,1,2012-10-18,1569
13,2008-03-13,2008-07-02,2012-12-03,1,2012-12-03,1615
13,2008-03-13,2008-07-02,2013-04-06,1,2013-04-06,1739
13,2008-03-13,2008-07-02,2013-09-11,1,2013-09-11,1897
13,2008-03-13,2008-07-02,2014-01-06,1,2014-01-06,2014
13,2008-03-13,2008-07-02,2014-03-28,1,2014-03-28,2095
13,2008-03-13,2008-07-02,2015-01-14,1,2015-01-14,2387
13,2008-03-13,2008-07-02,2015-08-15,1,2015-08-15,2600
13,2008-03-13,2008-07-02,2017-01-19,1,2017-01-19,3123
13,2008-03-13,2008-07-02,2017-01-24,1,2017-01-24,3128
13,2008-03-13,2008-07-02,2017-09-26,1,2017-09-26,3373
13,2008-03-13,2008-07-02,2017-10-07,1,2017-10-07,3384
13,2008-03-13,2008-07-02,2017-12-07,1,2017-12-07,3445
13,2008-03-13,2008-07-02,2019-02-28,1,2019-02-28,3893
13,2008-03-13,2008-07-02,2019-11-23,1,2019-11-23,4161
13,2008-03-13,2008-07-02,2020-06-05,1,2020-06-05,4356
13,2008-03-13,2008-07-02,2020-09-04,1,2020-09-04,4447
13,2008-03-13,2008-07-02,2020-09-13,1,2020-09-13,4456
13,2008-03-13,2008-07-02,2020-11-06,1,2020-11-06,4510
14,2004-07-15,2004-10-31,2005-02-06,1,2005-02-06,98
14,2004-07-15,2004-10-31,2005-05-27,1,2005-05-27,208
14,2004-07-15,2004-10-31,2005-06-01,1,2005-06-01,213
14,2004-07-15,2004-10-31,2005-11-28,1,2005-11-28,393
14,2004-07-15,2004-10-31,2006-03-15,1,2006-03-15,500
14,2004-07-15,2004-10-31,2006-03-18,1,2006-03-18,503
14,2004-07-15,2004-10-31,2007-08-04,1,2007-08-04,1007
14,2004-07-15,2004-10-31,2007-09-12,1,2007-09-12,1046
14,2004-07-15,2004-10-31,2007-10-15,1,2007-10-15,1079
14,2004-07-15,2004-10-31,2008-06-24,1,2008-06-24,1332
14,2004-07-15,2004-10-31,2008-09-09,1,2008-09-09,1409
14,2004-07-15,2004-10-31,2009-02-26,1,2009-02-26,1579
14,2004-07-15,2004-10-31,2009-02-27,1,2009-02-27,1580
14,2004-07-15,2004-10-31,2009-06-08,1,2009-06-08,1681
14,2004-07-15,2004-10-31,2009-06-12,1,2009-06-12,1685
14,2004-07-15,2004-10-31,2009-07-24,1,2009-07-24,1727
14,2004-07-15,2004-10-31,2009-08-31,1,2009-08-31,1765
14,2004-07-15,2004-10-31,2011-05-29,1,2011-05-29,2401
14,2004-07-15,2004-10-31,2011-08-01,1,2011-08-01,2465
14,2004-07-15,2004-10-31,2012-06-25,1,2012-06-25,2794
14,2004-07-15,2004-10-31,2012-10-01,1,2012-10-01,2892
14,2004-07-15,2004-10-31,2013-09-22,1,2013-09-22,3248
14,2004-07-15,2004-10-31,2014-04-05,1,2014-04-05,3443
14,2004-07-15,2004-10-31,2014-04-06,1,2014-04-06,3444
14,2004-07-15,2004-10-31,2014-04-27,1,2014-04-27,3465
14,2004-07-15,2004-10-31,2014-05-02,1,2014-05-02,3470
14,2004-07-15,2004-10-31,2014-05-19,1,2014-05-19,3487
14,2004-07-15,2004-10-31,2014-07-02,1,2014-07-02,3531
14,2004-07-15,2004-10-31,2015-04-05,1,2015-04-05,3808
14,2004-07-15,2004-10-31,2015-11-29,1,2015-11-29,4046
14,2004-07-15,2004-10-31,2016-01-18,1,2016-01-18,4096
14,2004-07-15,2004-10-31,2016-04-16,1,2016-04-16,4185
14,2004-07-15,2004-10-31,2017-04-04,1,2017-04-04,4538
14,2004-07-15,2004-10-31,2017-04-17,1,2017-04-17,4551
14,2004-07-15,2004-10-31,2017-09-13,1,2017-09-13,4700
14,2004-07-15,2004-10-31,2017-10-04,1,2017-10-04,4721
14,2004-07-15,2004-10-31,2020-04-13,1,2020-04-13,5643
14,2004-07-15,2004-10-31,2020-07-26,1,2020-07-26,5747
15,2014-12-23,2015-04-05,2015-05-04,1,2015-05-04,29
15,2014-12-23,2015-04-05,2017-08-15,1,2017-08-15,863
15,2014-12-23,2015-04-05,2017-08-26,1,2017-08-26,874
15,2014-12-23,2015-04-05,2017-09-05,1,2017-09-05,884
15,2014-12-23,2015-04-05,2018-07-13,1,2018-07-13,1195
15,2014-12-23,2015-04-05,2019-04-08,1,2019-04-08,1464
15,2014-12-23,2015-04-05,2019-05-29,1,2019-05-29,1515
15,2014-12-23,2015-04-05,2019-07-19,1,2019-07-19,1566
15,2014-12-23,2015-04-05,2019-11-11,1,2019-11-11,1681
16,2006-08-14,2006-08-17,2007-02-09,1,2007-02-09,176
16,2006-08-14,2006-08-17,2007-12-27,1,2007-12-27,497
16,2006-08-14,2006-08-17,2008-12-24,1,2008-12-24,860
16,2006-08-14,2006-08-17,2009-01-18,1,2009-01-18,885
16,2006-08-14,2006-08-17,2009-06-22,1,2009-06-22,1040
16,2006-08-14,2006-08-17,2011-08-11,1,2011-08-11,1820
16,2006-08-14,2006-08-17,2011-08-29,1,2011-08-29,1838
16,2006-08-14,2006-08-17,2011-12-12,1,2011-12-12,1943
16,2006-08-14,2006-08-17,2012-08-28,1,2012-08-28,2203
16,2006-08-14,2006-08-17,2014-11-27,1,2014-11-27,3024
16,2006-08-14,2006-08-17,2014-12-19,1,2014-12-19,3046
16,2006-08-14,2006-08-17,2015-03-22,1,2015-03-22,3139
16,2006-08-14,2006-08-17,2015-11-28,1,2015-11-28,3390
16,2006-08-14,2006-08-17,2016-05-08,1,2016-05-08,3552
16,2006-08-14,2006-08-17,2017-05-22,1,2017-05-22,3931
16,2006-08-14,2006-08-17,2017-06-10,1,2017-06-10,3950
16,2006-08-14,2006-08-17,2017-10-28,1,2017-10-28,4090
16,2006-08-14,2006-08-17,2018-04-15,1,2018-04-15,4259
16,2006-08-14,2006-08-17,2019-02-12,1,2019-02-12,4562
16,2006-08-14,2006-08-17,2020-01-14,1,2020-01-14,4898
16,2006-08-14,2006-08-17,2020-05-08,1,2020-05-08,5013
16,2006-08-14,2006-08-17,2020-10-21,1,2020-10-21,5179
16,2006-08-14,2006-08-17,2020-10-22,1,2020-10-22,5180
17,2003-07-18,2003-09-25,2003-09-27,1,2003-09-27,2
17,2003-07-18,2003-09-25,2004-04-01,1,2004-04-01,189
17,2003-07-18,2003-09-25,2004-08-05,1,2004-08-05,315
17,2003-07-18,2003-09-25,2006-02-10,1,2006-02-10,869
17,2003-07-18,2003-09-25,2006-03-14,1,2006-03-14,901
17,2003-07-18,2003-09-25,2006-06-09,1,2006-06-09,988
17,2003-07-18,2003-09-25,2007-05-25,1,2007-05-25,1338
17,2003-07-18,2003-09-25,2007-10-01,1,2007-10-01,1467
17,2003-07-18,2003-09-25,2008-07-30,1,2008-07-30,1770
17,2003-07-18,2003-09-25,2008-12-04,1,2008-12-04,1897
17,2003-07-18,2003-09-25,2009-06-28,1,2009-06-28,2103
17,2003-07-18,2003-09-25,2010-07-16,1,2010-07-16,2486
17,2003-07-18,2003-09-25,2010-07-26,1,2010-07-26,2496
17,2003-07-18,2003-09-25,2011-08-12,1,2011-08-12,2878
17,2003-07-18,2003-09-25,2011-09-16,1,2011-09-16,2913
17,2003-07-18,2003-09-25,2012-05-26,1,2012-05-26,3166
17,2003-07-18,2003-09-25,2012-10-23,1,2012-10-23,3316
17,2003-07-18,2003-09-25,2013-01-03,1,2013-01-03,3388
17,2003-07-18,2003-09-25,2014-07-29,1,2014-07-29,3960
17,2003-07-18,2003-09-25,2015-06-25,1,2015-06-25,4291
17,2003-07-18,2003-09-25,2015-08-24,1,2015-08-24,4351
17,2003-07-18,2003-09-25,2015-10-03,1,2015-10-03,4391
17,2003-07-18,2003-09-25,2015-12-22,1,2015-12-22,4471
17,2003-07-18,2003-09-25,2016-03-03,1,2016-03-03,4543
17,2003-07-18,2003-09-25,2016-04-03,1,2016-04-03,4574
17,2003-07-18,2003-09-25,2017-08-14,1,2017-08-14,5072
17,2003-07-18,2003-09-25,2018-09-11,1,2018-09-11,5465
17,2003-07-18,2003-09-25,2019-09-20,1,2019-09-20,5839
17,2003-07-18,2003-09-25,2020-01-07,1,2020-01-07,5948
17,2003-07-18,2003-09-25,2020-10-13,1,2020-10-13,6228
18,2019-02-28,2019-08-19,2020-08-07,1,2020-08-07,354
19,2019-02-02,2019-03-15,2019-08-01,1,2019-08-01,139
19,2019-02-02,2019-03-15,2019-11-25,1,2019-11-25,255
19,2019-02-02,2019-03-15,2020-04-09,1,2020-04-09,391
19,2019-02-02,2019-03-15,2020-05-27,1,2020-05-27,439
19,2019-02-02,2019-03-15,2020-06-13,1,2020-06-13,456
19,2019-02-02,2019-03-15,2020-09-09,1,2020-09-09,544
20,2008-01-12,2008-02-24,2008-09-17,1,2008-09-17,206
20,2008-01-12,2008-02-24,2009-08-13,1,2009-08-13,536
20,2008-01-12,2008-02-24,2009-11-29,1,2009-11-29,644
20,2008-01-12,2008-02-24,2009-12-22,1,2009-12-22,667
20,2008-01-12,2008-02-24,2010-05-04,1,2010-05-04,800
20,2008-01-12,2008-02-24,2010-05-11,1,2010-05-11,807
20,2008-01-12,2008-02-24,2010-08-20,1,2010-08-20,908
20,2008-01-12,2008-02-24,2010-09-29,1,2010-09-29,948
20,2008-01-12,2008-02-24,2011-08-29,1,2011-08-29,1282
20,2008-01-12,2008-02-24,2011-09-22,1,2011-09-22,1306
20,2008-01-12,2008-02-24,2012-01-15,1,2012-01-15,1421
20,2008-01-12,2008-02-24,2012-04-11,1,2012-04-11,1508
20,2008-01-12,2008-02-24,2013-03-13,1,2013-03-13,1844
20,2008-01-12,2008-02-24,2013-08-08,1,2013-08-08,1992
20,2008-01-12,2008-02-24,2013-12-01,1,2013-12-01,2107
20,2008-01-12,2008-02-24,2014-05-13,1,2014-05-13,2270
20,2008-01-12,2008-02-24,2014-06-29,1,2014-06-29,2317
20,2008-01-12,2008-02-24,2014-11-08,1,2014-11-08,2449
20,2008-01-12,2008-02-24,2015-01-24,1,2015-01-24,2526
20,2008-01-12,2008-02-24,2015-02-13,1,2015-02-13,2546
20,2008-01-12,2008-02-24,2015-11-22,1,2015-11-22,2828
20,2008-01-12,2008-02-24,2016-02-10,1,2016-02-10,2908
20,2008-01-12,2008-02-24,2016-04-08,1,2016-04-08,2966
20,2008-01-12,2008-02-24,2016-04-08,1,2016-04-08,2966
20,2008-01-12,2008-02-24,2016-04-14,1,2016-04-14,2972
20,2008-01-12,2008-02-24,2016-06-05,1,2016-06-05,3024
20,2008-01-12,2008-02-24,2016-08-15,1,2016-08-15,3095
20,2008-01-12,2008-02-24,2017-03-19,1,2017-03-19,3311
20,2008-01-12,2008-02-24,2017-06-09,1,2017-06-09,3393
20,2008-01-12,2008-02-24,2018-03-22,1,2018-03-22,3679
20,2008-01-12,2008-02-24,2018-08-28,1,2018-08-28,3838
20,2008-01-12,2008-02-24,2018-11-13,1,2018-11-13,3915
20,2008-01-12,2008-02-24,2018-12-13,1,2018-12-13,3945
20,2008-01-12,2008-02-24,2018-12-13,1,2018-12-13,3945
20,2008-01-12,2008-02-24,2019-03-09,1,2019-03-09,4031
20,2008-01-12,2008-02-24,2019-06-10,1,2019-06-10,4124
20,2008-01-12,2008-02-24,2019-08-30,1,2019-08-30,4205
20,2008-01-12,2008-02-24,2020-06-16,1,2020-06-16,4496
20,2008-01-12,2008-02-24,2020-07-04,1,2020-07-04,4514
20,2008-01-12,2008-02-24,2020-07-25,1,2020-07-25,4535
20,2008-01-12,2008-02-24,2020-09-10,1,2020-09-10,4582
21,2017-11-11,2018-03-14,2018-11-01,1,2018-11-01,232
21,2017-11-11,2018-03-14,2019-12-27,1,2019-12-27,653
